case,no_l2_makespan,l2_makespan,l2_speedup,cache_hit_rate,added_copy_no_l2,added_copy_l2,plan_sha256,seconds
case_040,253454,253454,1.0,0.0,0,0,ed6e5d67d0a1c8b79279de11cbd267e099fc61becf7a7e4eeaff7e25017cd64a,0.6199459000490606
case_041,6003957,6001575,1.0003968958148486,0.10163681549404405,30898176,30898176,727befc5bd821bdc12309e8d820075590819035055e33c4da63b4c0fd5bcc5f2,11.544821999967098
case_042,1686740,1675633,1.0066285397816825,0.3186917583766532,6629376,6629376,adcdc424d75206250562abdf2f450b7463cbe57bf684fa8cce47171b1eed198e,1.8235209000995383
case_043,677656,677656,1.0,0.03320740032104811,49160,49160,eb75eae9a56d7695a0e7b26bfde3831bc157ae66177ca9f0293179f942412068,2.9555715000024065
case_044,154407,107814,1.4321609438477378,0.8199885718367201,4438112,4438112,b23a4835c93b4a4159ec4b33854f7a05c46a07b1cd8f3ea36657be61f0d580bc,0.34362589998636395
case_045,125614,125614,1.0,0.0,0,0,816f90d0779e0c3ebac9f25935ebab5434272b6902bef41fda2bb061e27a7432,0.280572299961932
case_046,276455,244994,1.1284153897646474,0.7530304668077024,3176288,3176288,857503d10ef18ef2bd83df97b4d5f4601322b93ebd1bc48a48f5ab10454fa15f,0.254652600036934
case_047,326508,326508,1.0,0.0,0,0,9f686d6fe9cb4664629d51ef1bdb2181b4df150b7646feadcdebe974cbc607eb,9.123392199981026
case_048,222220,222220,1.0,0.0,0,0,fccfe92b14b3a2062ed290f18d83dd83b311adf67f9ac345c8d09e8bf80e7ca0,0.44524919998366386
case_049,196276,196276,1.0,0.0,0,0,d767968e9f5a8e43d324117a3b03928e23ae34a2dd070416c9bc7e85324192c8,1.3691955000394955
case_050,149690,149690,1.0,0.0,0,0,bcb05239a30c953db5499352668fc934e20c5d9e7b9179eb9e491a699ebbcb4a,1.499015299952589
case_051,607628,607628,1.0,0.0,0,0,a99839fc0c6ff3f3581958c9c69c3737e2f83f16ad3efe64d200b0afcd604df0,0.29053490003570914
case_052,180301,180301,1.0,0.0,0,0,e33de3b01a6bd97632d9315cad027d044f1cdd4cadd130a140b0fd547f7ba4c8,0.2639329000376165
case_053,1472686,1428109,1.0312140039730862,0.6248708378144704,5405536,5405536,6ffda1d14e47d9998af5896ddd800ac37cf64a1e928305b872281e6374b17a04,3.3163254999089986
case_054,815051,815051,1.0,0.0,0,0,55710397b533d1b3a5bd31bba4997b09e4f6eaa019d8e44828eccedc6c5b05bb,11.838912799954414
case_055,118835,118835,1.0,0.10014324257468461,69632,69632,57f1aa3ebfd308a12a8c4fdfa68250eb54e430fe7e60658982741cfe07245f91,0.2797321000834927
case_056,277285,277285,1.0,0.0,0,0,743175f0c2281513c5ba96ab480f89a6b160427a20f1643bab65d04602081c3c,3.6566621999954805
case_057,59726,59726,1.0,0.21868152274837513,94216,94216,acd89f79c14e426db3abaaef2c68de7b4ce99efc97a95aebf8438072ab410cf5,0.20274189999327064
