Case	Makespan	Added Copy
case_001	116868	1152
case_002	137080	365568
case_003	385288	1933066
case_004	199074	110592
case_005	70607	601638
case_006	39164	3456
case_007	508114	41472
case_008	244266	0
case_009	92564	0
case_010	44039	27648
case_011	92646	180224
case_012	28808	3456
case_013	132198	8192
case_014	8857142	60284832
case_015	84607	696684
case_016	7715523	0
case_017	68105	250640
case_018	505515	1691008
case_019	38537	276524
case_020	266580	0
case_021	3194014	3223552
case_022	28489	0
case_023	49014	376992
case_024	2555343	0
case_025	2433638	27648
case_026	52493	48404
case_027	1120962	1744896
case_028	23638628	277473600
case_029	19740	0
case_030	1401507	4327424
case_031	718761	3336196
case_032	18041	149730
case_033	894613	8222208
case_034	419487	768172
case_035	99275	73382
case_036	466068	1152
case_037	105374	204800
case_038	673452	2000024
case_039	705060	9105408
case_040	130995	53760
case_041	3013832	24317952
case_042	847773	7415808
case_043	343864	627992
case_044	56489	1137248
case_045	63287	16384
case_046	112554	930400
case_047	267843	854150
case_048	187709	463302
case_049	145441	614802
case_050	100839	205766
case_051	412219	393956
case_052	84881	419380
case_053	764147	6691798
case_054	510272	49152
case_055	57154	61980
case_056	190015	679994
case_057	28834	329606
case_058	2257752	28512256
case_059	369318	360448
case_060	443206	2108456
case_061	41593	34560
case_062	1517850	6377472
case_063	565481	2856960
case_064	15256	39174
case_065	21893	101008
case_066	215568	350420
case_067	33768704	264024576
case_068	283789	1435230
case_069	14263	124804
case_070	57739	101888
case_071	11259	117796
case_072	11958823	83324976
case_073	5414140	125454720
case_074	834579	11358224
case_075	1116508	2494502
case_076	3094078	22297600
case_077	246432	57344
case_078	1088776	5096064
case_079	14860116	31944704
case_080	145224	1650688
case_081	76860	0
case_082	490931	1800326
case_083	445555	2187872
case_084	1253876	9216
case_085	2310652	4548614
case_086	84388	452934
case_087	1992229	6872054
case_088	161350	829080
case_089	346832	238720
case_090	601447	13501824
case_091	4597574	47462016
case_092	2713229	66108064
case_093	37827	8192
case_094	38659	230688
case_095	1042890	0
case_096	41959	57364
case_097	5497237	11821056
case_098	102886	196620
case_099	807776	4108288
case_100	68855	540608
