Case	Makespan	Added Copy
case_001	58984	3456
case_002	71850	703488
case_003	343485	3031086
case_004	101586	1112064
case_005	63163	1617038
case_006	23629	364820
case_007	256196	82944
case_008	100895	3096576
case_009	92573	0
case_010	24037	157972
case_011	46880	540672
case_012	14186	18496
case_013	66714	40960
case_014	4521196	58072080
case_015	43790	1226136
case_016	7715523	0
case_017	38864	235008
case_018	266412	4284704
case_019	21478	55304
case_020	133635	16384
case_021	1561183	7671808
case_022	14669	57152
case_023	26759	875166
case_024	2465429	1049968
case_025	1217444	82944
case_026	37050	889680
case_027	559196	1843200
case_028	12519267	277358856
case_029	10440	12296
case_030	705508	4503552
case_031	363952	7433068
case_032	11187	116840
case_033	445599	6517248
case_034	207665	3491360
case_035	98174	522478
case_036	233584	3456
case_037	53320	614400
case_038	349139	4368384
case_039	353390	11030528
case_040	116144	94470
case_041	1511329	23288832
case_042	445255	6934528
case_043	255010	291756
case_044	54445	1977120
case_045	31961	0
case_046	79740	2791200
case_047	219981	2181904
case_048	158240	947026
case_049	111102	662268
case_050	62740	660822
case_051	279790	1246236
case_052	46434	198144
case_053	494335	6764378
case_054	449274	5452072
case_055	32026	109080
case_056	196471	1836178
case_057	16447	50706
case_058	1130511	42266624
case_059	185216	1081344
case_060	227462	2288656
case_061	22219	156688
case_062	811802	6377472
case_063	296780	2664960
case_064	13860	53672
case_065	12794	50688
case_066	177712	1520402
case_067	16369483	272247424
case_068	227697	2346948
case_069	13975	133254
case_070	30489	118288
case_071	9194	123944
case_072	5990292	102689084
case_073	3566462	127371392
case_074	409612	7454724
case_075	676638	5891090
case_076	1548137	21839872
case_077	146113	233472
case_078	540618	6562176
case_079	7621285	30420992
case_080	85853	2379776
case_081	39435	20496
case_082	391310	2720304
case_083	232560	4144928
case_084	633736	0
case_085	1746680	9911314
case_086	81421	1576786
case_087	1044566	7051766
case_088	183402	1065298
case_089	173472	716160
case_090	272778	6821760
case_091	2325462	33141060
case_092	1672822	67002752
case_093	19254	282624
case_094	26798	316192
case_095	528831	36864
case_096	26601	713328
case_097	2624686	14438400
case_098	61188	1196348
case_099	415285	3997696
case_100	50721	333636
