Case	No-L2 Makespan	No-L2 Added Copy	L2 Makespan	L2 Added Copy	Cache Hit Rate
case_001	58984	3456	58984	3456	0.0
case_002	71850	703488	71850	703488	0.0
case_003	343485	3031086	343001	3031086	0.27882425182478326
case_004	101586	1112064	101586	1112064	0.09476309226932668
case_005	63163	1617038	61650	1617038	0.3272199255294242
case_006	23629	364820	23277	364820	0.17069623109054105
case_007	256196	82944	256196	82944	0.0
case_008	100895	3096576	100895	3096576	0.0
case_009	92573	0	92573	0	0.0
case_010	24037	157972	24037	157972	0.2382702383587927
case_011	46880	540672	46880	540672	0.0
case_012	14186	18496	14186	18496	0.028768699654775604
case_013	66714	40960	66678	40960	0.00597609561752988
case_014	4521196	58072080	4507632	58297872	0.39589235501296177
case_015	43790	1226136	42122	1160634	0.3906538177794172
case_016	7715523	0	7715523	0	0.0
case_017	38864	235008	38864	235008	0.23534850141405433
case_018	266412	4284704	266153	4284704	0.6020649989405256
case_019	21478	55304	21478	55304	0.10616899948159668
case_020	133635	16384	133635	16384	0.0
case_021	1561183	7671808	1560372	7671808	0.2332375478927203
case_022	14669	57152	14669	57152	0.2109214512672726
case_023	26759	875166	25056	902310	0.25628379243443405
case_024	2465429	1049968	2465429	1049968	0.6276409499758817
case_025	1217444	82944	1217444	82944	0.0
case_026	37050	889680	33134	666348	0.44222658481138105
case_027	559196	1843200	559196	1843200	0.0
case_028	12519267	277358856	13552804	277676160	0.012422805902928035
case_029	10440	12296	10440	12296	0.030524338987092735
case_030	705508	4503552	705517	4503552	0.5023068909063849
case_031	363952	7433068	362887	7390060	0.540417713534544
case_032	11187	116840	11128	125024	0.2741425468505329
case_033	445599	6517248	445508	6529536	0.5028511636518675
case_034	207665	3491360	206722	3491360	0.45908169601537147
case_035	98174	522478	97988	538738	0.19422034085878706
case_036	233584	3456	233584	3456	0.0
case_037	53320	614400	53320	614400	0.0
case_038	349139	4368384	349139	4368384	0.5733691485748025
case_039	353390	11030528	349026	11259904	0.6519607843137255
case_040	116144	94470	116144	94470	0.020167904050106798
case_041	1511329	23288832	1507593	23288832	0.30298085291557875
case_042	445255	6934528	438804	17630244	0.2804961156810005
case_043	255010	291756	255010	291756	0.05871489725196323
case_044	54445	1977120	51792	2091296	0.1917345698464863
case_045	31961	0	31961	0	0.0
case_046	79740	2791200	58152	2833184	0.6884918629333873
case_047	219981	2181904	219900	2181904	0.3254769100872512
case_048	158240	947026	158134	947026	0.20554413548126296
case_049	111102	662268	111088	662268	0.12087781488842898
case_050	62740	660822	62692	660822	0.2707965844615471
case_051	279790	1246236	279601	1246236	0.7345093073035156
case_052	46434	198144	44422	1391546	0.17216977469529932
case_053	494335	6764378	494180	6764378	0.4797327967588735
case_054	449274	5452072	448797	5452072	0.1319516845994102
case_055	32026	109080	34150	115216	0.12368365023993187
case_056	196471	1836178	196172	1836178	0.1716249628775269
case_057	16447	50706	16447	50706	0.0853228238156955
case_058	1130511	42266624	1123930	41975808	0.5785378366823429
case_059	185216	1081344	185216	1081344	0.0
case_060	227462	2288656	227398	2242576	0.40546786028872484
case_061	22219	156688	22219	156688	0.12301842749625494
case_062	811802	6377472	811802	6377472	0.0
case_063	296780	2664960	296780	2664960	0.0
case_064	13860	53672	13976	53672	0.2240483173146723
case_065	12794	50688	12794	50688	0.11993059572006941
case_066	177712	1520402	181136	1443856	0.2675981958471607
case_067	16369483	272247424	16168869	269660800	0.47665778840821377
case_068	227697	2346948	227423	2346948	0.22886870404971305
case_069	13975	133254	14075	147270	0.23638331480723104
case_070	30489	118288	32698	844420	0.35283040000911225
case_071	9194	123944	9194	123944	0.2673291297803135
case_072	5990292	102689084	5967270	102689084	0.19395343876916846
case_073	3566462	127371392	3010693	127374464	0.34495946332498695
case_074	409612	7454724	408570	7651332	0.3691747873137469
case_075	676638	5891090	676010	5891090	0.33191977068704737
case_076	1548137	21839872	1544775	23049216	0.42795561886198363
case_077	146113	233472	145697	233472	0.050631271152485446
case_078	540618	6562176	529083	6568320	0.638154720126338
case_079	7621285	30420992	7621534	30420992	0.24287813701107847
case_080	85853	2379776	75189	3506176	0.2964196502914238
case_081	39435	20496	39435	20496	0.019224487190558973
case_082	391310	2720304	390564	2720304	0.3276153246624444
case_083	232560	4144928	222621	4175648	0.5532399155400773
case_084	633736	0	633736	0	0.0
case_085	1746680	9911314	1743689	9911314	0.34783659456236926
case_086	81421	1576786	81038	1580626	0.3257635730090649
case_087	1044566	7051766	1042302	7051766	0.1733062853087918
case_088	183402	1065298	166982	1719956	0.22538900198816625
case_089	173472	716160	173472	716160	0.0
case_090	272778	6821760	227764	7073664	0.6564516302477632
case_091	2325462	33141060	2313031	33582244	0.47027464102937544
case_092	1672822	67002752	1396483	67219808	0.706650385563001
case_093	19254	282624	19242	221184	0.026470588235294117
case_094	26798	316192	26798	316192	0.1342022586397215
case_095	528831	36864	528831	36864	0.0
case_096	26601	713328	26131	776312	0.4456349784559023
case_097	2624686	14438400	2621513	14438400	0.18436060539592017
case_098	61188	1196348	60338	1155384	0.3230903320967237
case_099	415285	3997696	414567	3997696	0.5249088699878494
case_100	50721	333636	50721	333636	0.29827732997202594
