Case	No-L2 Makespan	No-L2 Added Copy	L2 Makespan	L2 Added Copy	Cache Hit Rate
case_001	233110	0	233110	0	0.0
case_002	261945	0	261945	0	0.0
case_003	602212	0	602212	0	0.0
case_004	392357	0	392357	0	0.0
case_005	95618	0	95618	0	0.0
case_006	82837	16400	82837	16400	0.029275126148920052
case_007	1012562	0	1012562	0	0.0
case_008	487605	0	487605	0	0.0
case_009	153261	0	153261	0	0.0
case_010	86969	0	86969	0	0.0
case_011	184697	0	184697	0	0.0
case_012	59088	0	59088	0	0.0
case_013	263949	0	263949	0	0.0
case_014	17698626	71010720	17689602	71010720	0.12291025483195864
case_015	177362	180256	177362	180256	0.1692685978123867
case_016	7715523	0	7715523	0	0.0
case_017	162810	22528	162810	22528	0.040398388942088706
case_018	1004367	1970176	1003110	1970176	0.34375031576536474
case_019	81144	0	81144	0	0.0
case_020	532746	0	532746	0	0.0
case_021	6567937	4501504	6558837	4501504	0.5005973715651135
case_022	56780	0	56780	0	0.0
case_023	122614	0	122614	0	0.0
case_024	2555343	0	2555343	0	0.0
case_025	4863026	0	4863026	0	0.0
case_026	99203	0	99203	0	0.0
case_027	2363952	1400832	2359515	1400832	0.2689393939393939
case_028	43836040	277412256	43836040	277412256	0.0
case_029	37555	0	37555	0	0.0
case_030	2808034	5519360	2807891	5519360	0.259867995341012
case_031	1414369	3491328	1414159	3491328	0.26059362793218216
case_032	41443	0	41443	0	0.0
case_033	1774196	4592640	1774080	4592640	0.09627692445862406
case_034	842996	1079832	842733	1079832	0.309046599146855
case_035	169571	0	169571	0	0.0
case_036	931510	0	931510	0	0.0
case_037	210001	0	210001	0	0.0
case_038	1364555	5627904	1363312	5627904	0.1736168151396097
case_039	1435262	7929856	1435262	7929856	0.0
case_040	253454	0	253454	0	0.0
case_041	6003957	30898176	6001575	30898176	0.10163681549404405
case_042	1686740	6629376	1675633	6629376	0.3186917583766532
case_043	677656	49160	677656	49160	0.03320740032104811
case_044	154407	4438112	107814	4438112	0.8199885718367201
case_045	125614	0	125614	0	0.0
case_046	276455	3176288	244994	3176288	0.7530304668077024
case_047	326508	0	326508	0	0.0
case_048	222220	0	222220	0	0.0
case_049	196276	0	196276	0	0.0
case_050	149690	0	149690	0	0.0
case_051	607628	0	607628	0	0.0
case_052	180301	0	180301	0	0.0
case_053	1472686	5405536	1428109	5405536	0.6248708378144704
case_054	815051	0	815051	0	0.0
case_055	118835	69632	118835	69632	0.10014324257468461
case_056	277285	0	277285	0	0.0
case_057	59726	94216	59726	94216	0.21868152274837513
case_058	4539717	28696576	4539717	28696576	0.0
case_059	829473	1691648	815938	1691648	0.6100443131462334
case_060	888789	2068520	887801	2068520	0.4231432279268349
case_061	77191	0	77191	0	0.0
case_062	2854809	0	2854809	0	0.0
case_063	1070397	0	1070397	0	0.0
case_064	19116	0	19116	0	0.0
case_065	53068	0	53068	0	0.0
case_066	359070	0	359070	0	0.0
case_067	63834834	264449408	63834834	264449408	0.0
case_068	362095	0	362095	0	0.0
case_069	25144	0	25144	0	0.0
case_070	117300	0	117300	0	0.0
case_071	18919	0	18919	0	0.0
case_072	23897828	108613680	23890756	108613680	0.026210198484652728
case_073	10081626	141570432	10081626	141570432	0.0
case_074	1682239	6070280	1678120	6070280	0.16680485013829857
case_075	1441809	0	1441809	0	0.0
case_076	6185113	28280832	6183098	28280832	0.13357661937269952
case_077	495320	0	495320	0	0.0
case_078	2296143	12644568	2296143	12644568	0.0
case_079	31052251	32448512	31052251	32448512	0.0
case_080	292138	548864	291826	548864	0.1686143572621035
case_081	151795	0	151795	0	0.0
case_082	721041	0	721041	0	0.0
case_083	1057993	13934688	946145	13934688	0.7958684091545202
case_084	2507412	0	2507412	0	0.0
case_085	3187899	0	3187899	0	0.0
case_086	118403	0	118403	0	0.0
case_087	3974071	7902720	3969779	7902720	0.18336776784760794
case_088	243623	0	243623	0	0.0
case_089	693092	0	693092	0	0.0
case_090	1178363	21233592	1178363	21233592	0.0
case_091	9186769	53947008	9168820	53947008	0.10538579237748164
case_092	4815554	66000096	4333631	66000096	0.7935495964003455
case_093	74205	0	74205	0	0.0
case_094	94892	0	94892	0	0.0
case_095	2084853	0	2084853	0	0.0
case_096	84194	0	84194	0	0.0
case_097	11491509	10584064	11491509	10584064	0.0
case_098	177430	0	177430	0	0.0
case_099	1622999	5484544	1618902	5484544	0.25235465023466686
case_100	151223	0	151223	0	0.0
