Case	Makespan	Added Copy
case_001	80019	18048
case_002	99763	777216
case_003	520890	4367194
case_004	143972	562176
case_005	76823	1908400
case_006	31623	23428
case_007	342114	142848
case_008	164386	0
case_009	99467	605984
case_010	35177	333994
case_011	69974	1261568
case_012	22043	69210
case_013	88898	40960
case_014	6001071	59085216
case_015	64037	424704
case_016	7719423	2359364
case_017	56672	532224
case_018	355280	3354624
case_019	29464	117800
case_020	178464	0
case_021	2113394	22659072
case_022	20138	115248
case_023	44578	293004
case_024	2555343	0
case_025	1626618	331776
case_026	53219	168080
case_027	837934	3317760
case_028	14334021	326095848
case_029	14346	86080
case_030	946980	3966464
case_031	496540	15004424
case_032	14754	71732
case_033	604236	11784192
case_034	292991	1320968
case_035	105754	1059570
case_036	312819	18048
case_037	79144	1835008
case_038	463523	5250052
case_039	486240	22462464
case_040	125920	544824
case_041	1997333	23801856
case_042	561427	8064004
case_043	273814	1320814
case_044	98644	305920
case_045	44300	0
case_046	140310	6013088
case_047	327779	1205448
case_048	195620	752804
case_049	176154	1561688
case_050	88457	2160944
case_051	392181	9045294
case_052	65184	331776
case_053	529453	6896886
case_054	532090	2803848
case_055	41563	226344
case_056	277285	0
case_057	20786	171580
case_058	1507201	41361408
case_059	257760	8646656
case_060	297886	3340312
case_061	33986	172560
case_062	1042967	9581568
case_063	396175	2485248
case_064	19116	0
case_065	18884	41472
case_066	230699	3811240
case_067	21698371	264596864
case_068	309897	810152
case_069	16385	290740
case_070	39454	101888
case_071	12505	240596
case_072	7787041	108765574
case_073	3891862	141453568
case_074	554121	8114184
case_075	1172753	5416156
case_076	2047373	22446080
case_077	168996	990826
case_078	755234	15381336
case_079	9827696	40415232
case_080	104402	1904640
case_081	52069	6144
case_082	643341	1828040
case_083	512807	16043072
case_084	840465	9216
case_085	2781908	9790344
case_086	99359	3274642
case_087	1514315	7908188
case_088	197820	2041338
case_089	244380	9104128
case_090	506670	25462464
case_091	3047290	61014016
case_092	2246154	68862560
case_093	27470	45056
case_094	37896	133632
case_095	696802	0
case_096	35867	183700
case_097	3556774	36878336
case_098	82805	1700370
case_099	549360	12693504
case_100	62269	334356
