Case	No-L2 Makespan	No-L2 Added Copy	L2 Makespan	L2 Added Copy	Cache Hit Rate
case_001	116868	1152	116868	1152	0.0
case_002	137080	365568	137080	365568	0.006535947712418301
case_003	385288	1933066	385263	1933066	0.17522520221784965
case_004	199074	110592	199074	110592	0.0
case_005	70607	601638	70607	601638	0.11685600189639139
case_006	39164	3456	38531	231236	0.2279019604151594
case_007	508114	41472	508105	35328	0.0016835016835016834
case_008	244266	0	244266	0	0.0
case_009	92564	0	92564	0	0.0
case_010	44039	27648	44039	27648	0.06715145509392169
case_011	92646	180224	92646	180224	0.0
case_012	28808	3456	28808	3456	0.007088474665266474
case_013	132198	8192	132198	8192	0.0
case_014	8857142	60284832	8844954	60284832	0.33309565604574076
case_015	84607	696684	84607	696684	0.2838449588231036
case_016	7715523	0	7715523	0	0.0
case_017	68105	250640	68600	236936	0.1444498386011532
case_018	505515	1691008	504863	1691008	0.508748314352157
case_019	38537	276524	38537	276524	0.10141131535537122
case_020	266580	0	266580	0	0.0
case_021	3194014	3223552	3193546	3223552	0.4103982300884956
case_022	28489	0	28489	0	0.0
case_023	49014	376992	49014	376992	0.15495445305137887
case_024	2555343	0	2555343	0	0.0
case_025	2433638	27648	2433638	27648	0.0
case_026	52493	48404	51818	66852	0.036096196363308214
case_027	1120962	1744896	1120962	1744896	0.08904109589041095
case_028	23638628	277473600	23615145	277473600	0.0047431470336763695
case_029	19740	0	19740	0	0.0
case_030	1401507	4327424	1401078	4327424	0.38884656407130885
case_031	718761	3336196	717505	3336196	0.3455365264424253
case_032	18041	149730	18383	147704	0.25350774771922185
case_033	894613	8222208	894102	8222208	0.312537932850719
case_034	419487	768172	419487	768172	0.16859483906537545
case_035	99275	73382	99275	73382	0.018803520348013636
case_036	466068	1152	466068	1152	0.0
case_037	105374	204800	105374	204800	0.0
case_038	673452	2000024	673452	2000024	0.35712037407860414
case_039	705060	9105408	701809	9105408	0.4379809172052939
case_040	130995	53760	130959	53760	0.053591230073766705
case_041	3013832	24317952	3007339	24244224	0.26244343891402716
case_042	847773	7415808	841158	7415808	0.4275042944785276
case_043	343864	627992	343864	627992	0.18808599712180019
case_044	56489	1137248	50676	1155680	0.26066950973161895
case_045	63287	16384	63287	16384	0.0
case_046	112554	930400	112554	930400	0.0
case_047	267843	854150	267843	854150	0.13049470875982463
case_048	187709	463302	187709	463302	0.009635004806648681
case_049	145441	614802	145441	614802	0.024276349139523496
case_050	100839	205766	100795	205766	0.057508707514918954
case_051	412219	393956	407973	393956	0.49976487095864014
case_052	84881	419380	84645	419380	0.11894093536752877
case_053	764147	6691798	732130	6110320	0.5136571884065839
case_054	510272	49152	510272	49152	0.0
case_055	57154	61980	57154	61980	0.08438616706290748
case_056	190015	679994	190009	679994	0.16257366583443225
case_057	28834	329606	28698	280446	0.2623573317085378
case_058	2257752	28512256	2266013	30064640	0.35429018905917886
case_059	369318	360448	369318	360448	0.0
case_060	443206	2108456	450476	2687184	0.3644200835484128
case_061	41593	34560	41593	34560	0.026547020719120077
case_062	1517850	6377472	1517850	6377472	0.0
case_063	565481	2856960	565481	2856960	0.0
case_064	15256	39174	15256	39174	0.1301564722617354
case_065	21893	101008	21893	101008	0.039103267563996326
case_066	215568	350420	215515	297044	0.08622766578111163
case_067	33768704	264024576	33768704	264024576	0.0
case_068	283789	1435230	283703	1435230	0.1663287020576453
case_069	14263	124804	14263	124804	0.16041351224351277
case_070	57739	101888	57739	101888	0.19528276211029888
case_071	11259	117796	11259	117796	0.28634082061702193
case_072	11958823	83324976	11992130	102371376	0.10396637069772256
case_073	5414140	125454720	5314978	125463936	0.13910819018337892
case_074	834579	11358224	833718	11337744	0.15928877400854702
case_075	1116508	2494502	1116404	2494502	0.16457652861542219
case_076	3094078	22297600	3089132	22248448	0.30093450725980847
case_077	246432	57344	246432	57344	0.026082004763022353
case_078	1088776	5096064	1074148	5068416	0.6191718952834271
case_079	14860116	31944704	14860116	31944704	0.09069212410501193
case_080	145224	1650688	145224	1650688	0.2799539170506912
case_081	76860	0	76860	0	0.0
case_082	490931	1800326	490931	1800326	0.13365648678159017
case_083	445555	2187872	441435	2187872	0.33902535750110807
case_084	1253876	9216	1253876	9216	0.0
case_085	2310652	4548614	2310600	4548614	0.11054938652046871
case_086	84388	452934	84388	452934	0.15539543626331426
case_087	1992229	6872054	1990755	6872054	0.27889307878716235
case_088	161350	829080	161350	829080	0.1547110052819565
case_089	346832	238720	346832	238720	0.0
case_090	601447	13501824	471121	12492672	0.8309245190132787
case_091	4597574	47462016	4592442	47194752	0.1808673341766543
case_092	2713229	66108064	2286321	66421856	0.7670694150337164
case_093	37827	8192	37827	8192	0.0
case_094	38659	230688	38659	230688	0.07273366127898806
case_095	1042890	0	1042890	0	0.0
case_096	41959	57364	41959	57364	0.21427877465304507
case_097	5497237	11821056	5557107	11796480	0.14387755102040817
case_098	102886	196620	102886	196620	0.21979014584260267
case_099	807776	4108288	806369	4108288	0.5186355752553479
case_100	68855	540608	69059	632768	0.24209176103905813
