Case	Makespan	Added Copy
case_001	48544	10368
case_002	72210	620544
case_003	531368	2515696
case_004	93015	1010688
case_005	75732	1425224
case_006	30988	375508
case_007	210770	256512
case_008	115160	0
case_009	86230	2018636
case_010	29582	101376
case_011	47126	1628160
case_012	16873	36940
case_013	58993	77824
case_014	3679052	58495392
case_015	49023	1017132
case_016	7722673	4325464
case_017	33561	232704
case_018	208149	5537792
case_019	20130	207412
case_020	114954	16384
case_021	1243902	7372800
case_022	14913	201316
case_023	27282	133252
case_024	2555343	0
case_025	986988	525312
case_026	41647	119432
case_027	507735	14444544
case_028	9647563	333750624
case_029	10020	0
case_030	582630	21765128
case_031	304401	4882944
case_032	15609	12288
case_033	373305	14247460
case_034	180581	5422628
case_035	125105	1640922
case_036	188224	10368
case_037	44206	1515520
case_038	286698	6681600
case_039	316542	9805824
case_040	109082	3463288
case_041	1214163	23467008
case_042	368595	12727296
case_043	272004	1724168
case_044	99697	510880
case_045	29243	73728
case_046	124057	5658816
case_047	325079	854910
case_048	216840	1628490
case_049	153443	535350
case_050	101375	658360
case_051	359404	9176738
case_052	40690	624396
case_053	501996	8472194
case_054	536292	1098668
case_055	29274	143884
case_056	200587	3919524
case_057	24565	304772
case_058	1016707	32079872
case_059	161567	7524352
case_060	187535	6707204
case_061	22525	277792
case_062	698055	10180608
case_063	247588	3259392
case_064	19116	0
case_065	13800	263364
case_066	238920	3814312
case_067	13955513	266327296
case_068	299334	2971960
case_069	25144	0
case_070	31427	426004
case_071	18919	0
case_072	4986014	88027184
case_073	3266085	142607616
case_074	356951	9551880
case_075	1033725	8238302
case_076	1251283	52546560
case_077	128067	453338
case_078	502804	15463296
case_079	6030008	75737088
case_080	97266	3416064
case_081	36658	6144
case_082	603864	1745406
case_083	438246	17985728
case_084	514369	9216
case_085	2740213	6901434
case_086	106031	1036278
case_087	950648	8155762
case_088	189284	2300112
case_089	156404	2148480
case_090	498371	25899264
case_091	1865476	69540352
case_092	1637969	70015840
case_093	18565	155648
case_094	23280	502752
case_095	423985	36864
case_096	27424	166028
case_097	2115485	29523968
case_098	91950	147500
case_099	342700	5971968
case_100	60344	221200
