Case	Makespan	Added Copy
case_001	47502	4608
case_002	57839	1565184
case_003	287382	5876674
case_004	82245	3179520
case_005	61797	935862
case_006	21934	184740
case_007	203834	110592
case_008	100500	36864
case_009	63152	1271818
case_010	23951	310688
case_011	44089	1171456
case_012	14292	75616
case_013	54106	311296
case_014	3712076	58340256
case_015	43418	1409944
case_016	7715523	0
case_017	33558	228096
case_018	207716	2768896
case_019	18048	93488
case_020	110690	36864
case_021	1250168	10919936
case_022	13131	19212
case_023	26199	317742
case_024	2464078	985128
case_025	977132	110592
case_026	32717	718832
case_027	537081	2955264
case_028	9304175	213467088
case_029	9383	0
case_030	565308	8413192
case_031	299175	3631120
case_032	11228	53280
case_033	361655	5970432
case_034	175084	2600960
case_035	97907	667260
case_036	187182	4608
case_037	43013	819200
case_038	280538	8565760
case_039	317066	10366976
case_040	81091	1883828
case_041	1215630	23731204
case_042	367334	7676928
case_043	264949	471286
case_044	53481	1944160
case_045	26330	0
case_046	92654	3738880
case_047	228262	1546456
case_048	148358	1165910
case_049	116698	766966
case_050	79033	480256
case_051	212109	1705216
case_052	38023	353800
case_053	495071	7321740
case_054	429642	6280522
case_055	21522	152604
case_056	154422	1788802
case_057	14978	484042
case_058	940996	34263040
case_059	150598	2007040
case_060	181958	5732726
case_061	18275	80140
case_062	656678	6420480
case_063	238249	3081216
case_064	12698	64110
case_065	10864	168112
case_066	187245	2279686
case_067	13310646	263329280
case_068	220688	2596672
case_069	16374	284364
case_070	27785	924000
case_071	13675	189416
case_072	5020894	96448560
case_073	3222140	123355648
case_074	353899	13901876
case_075	796959	6144568
case_076	1245861	22726656
case_077	119902	172036
case_078	477048	12036096
case_079	6014575	50350080
case_080	85746	2289664
case_081	30943	0
case_082	378812	1387094
case_083	197937	6533504
case_084	503576	0
case_085	1308515	14103958
case_086	70531	965232
case_087	946790	7275190
case_088	133583	932780
case_089	139048	954880
case_090	279869	9330432
case_091	1851494	44166816
case_092	1058375	39271232
case_093	15876	32768
case_094	19995	207648
case_095	420852	0
case_096	20340	769388
case_097	2102140	21069824
case_098	59473	1246660
case_099	344341	4362240
case_100	55228	542764
