Case	Makespan	Added Copy
case_001	78545	2304
case_002	92763	414720
case_003	324351	3240190
case_004	134043	221184
case_005	65735	573322
case_006	30478	93596
case_007	338094	55296
case_008	163359	0
case_009	94134	22016
case_010	32083	520024
case_011	65307	1640448
case_012	18679	136870
case_013	88351	16384
case_014	5995132	57561504
case_015	52476	933008
case_016	7715523	0
case_017	48159	167040
case_018	339600	7951364
case_019	27888	60484
case_020	177888	16384
case_021	2160509	15859712
case_022	19410	57908
case_023	32103	731812
case_024	2555343	0
case_025	1622164	55296
case_026	39226	596400
case_027	788058	14323712
case_028	15601774	267822360
case_029	12743	0
case_030	934706	5675008
case_031	486205	6440236
case_032	13132	30750
case_033	593966	6113280
case_034	271473	3272216
case_035	98323	0
case_036	311345	2304
case_037	71032	905216
case_038	454994	8191488
case_039	480630	20086784
case_040	111804	117094
case_041	2007756	24100864
case_042	574557	17031200
case_043	262065	445558
case_044	61990	2182848
case_045	43748	16384
case_046	93895	3062976
case_047	212513	1610124
case_048	162835	827660
case_049	135614	957994
case_050	68372	896938
case_051	312911	721816
case_052	58693	687906
case_053	517826	6261728
case_054	455974	3647684
case_055	34331	90624
case_056	181961	1352776
case_057	20132	24064
case_058	1500577	31592448
case_059	252305	1822720
case_060	291567	3728456
case_061	28490	29456
case_062	1064140	10361856
case_063	388538	2792448
case_064	12434	73612
case_065	16407	292020
case_066	195074	1684424
case_067	21315128	244452096
case_068	230707	1903456
case_069	13549	195784
case_070	39454	101892
case_071	9952	139974
case_072	8030776	101060656
case_073	3806377	143758464
case_074	552262	7208968
case_075	770014	4328940
case_076	2057374	22785024
case_077	167493	540266
case_078	710734	6038784
case_079	9859507	32677888
case_080	101399	909312
case_081	50925	502286
case_082	408000	1892236
case_083	297897	3257536
case_084	839098	9216
case_085	1705149	7682444
case_086	66789	1077548
case_087	1412551	7490354
case_088	136104	1338180
case_089	231898	1235200
case_090	395863	9327360
case_091	3096231	34078944
case_092	1951164	66555392
case_093	25301	57344
case_094	28647	825416
case_095	695775	0
case_096	30447	389148
case_097	3588775	15372288
case_098	60568	586060
case_099	539310	3981772
case_100	57307	170504
