Case	No-L2 Makespan	No-L2 Added Copy	L2 Makespan	L2 Added Copy	Cache Hit Rate
case_001	47502	4608	47502	4608	0.0
case_002	57839	1565184	57791	1560576	0.28421052631578947
case_003	287382	5876674	282781	5876674	0.45991035618982795
case_004	82245	3179520	82297	3179520	0.09033078880407125
case_005	61797	935862	61585	983672	0.3862753295037126
case_006	21934	184740	21464	168484	0.23667401964228008
case_007	203834	110592	203834	110592	0.0
case_008	100500	36864	100500	36864	0.0
case_009	63152	1271818	61029	1249802	0.29656411259289167
case_010	23951	310688	23935	321052	0.3175080429357467
case_011	44089	1171456	44087	1196032	0.55375
case_012	14292	75616	14292	75616	0.0930691345846993
case_013	54106	311296	54001	311296	0.008395522388059701
case_014	3712076	58340256	3692460	58340256	0.27411119306364967
case_015	43418	1409944	38750	1325978	0.3835549606445711
case_016	7715523	0	7715523	0	0.0
case_017	33558	228096	33558	228096	0.20226044071518604
case_018	207716	2768896	206182	2822148	0.5288463063073674
case_019	18048	93488	18007	93488	0.17653196293700849
case_020	110690	36864	110690	36864	0.0034129692832764505
case_021	1250168	10919936	1249324	11493376	0.6391111111111111
case_022	13131	19212	12611	44584	0.15796544505889337
case_023	26199	317742	25243	347436	0.37423772333368993
case_024	2464078	985128	2463248	985128	0.642480214913236
case_025	977132	110592	977132	110592	0.0
case_026	32717	718832	31575	680436	0.4379977937120794
case_027	537081	2955264	537081	2955264	0.2868817204301075
case_028	9304175	213467088	8890874	213682200	0.5342252196835471
case_029	9383	0	9383	0	0.0
case_030	565308	8413192	565111	8413192	0.5997317640873291
case_031	299175	3631120	298956	3631120	0.42668576761356397
case_032	11228	53280	10572	30736	0.09913386944792245
case_033	361655	5970432	361126	5970432	0.34071102579959667
case_034	175084	2600960	173520	2694144	0.49695866290533736
case_035	97907	667260	97804	661828	0.296856036802694
case_036	187182	4608	187182	4608	0.0
case_037	43013	819200	43013	819200	0.12121212121212122
case_038	280538	8565760	276602	8680960	0.5729737083402489
case_039	317066	10366976	303012	14757888	0.5631510416666666
case_040	81091	1883828	80507	1850680	0.3483341160933918
case_041	1215630	23731204	1212234	24107008	0.346393934050432
case_042	367334	7676928	354359	7974912	0.45927771806846174
case_043	264949	471286	264944	471286	0.1366415095571268
case_044	53481	1944160	48337	2486368	0.31865474940050337
case_045	26330	0	26330	0	0.0
case_046	92654	3738880	64720	3987712	0.7541482944607384
case_047	228262	1546456	228195	1546456	0.24005096965361594
case_048	148358	1165910	148331	1165910	0.2411226309035782
case_049	116698	766966	116645	766966	0.1477414681381064
case_050	79033	480256	79011	480256	0.21927649818724676
case_051	212109	1705216	211201	1705220	0.7740129452067601
case_052	38023	353800	37989	378392	0.2768858542986611
case_053	495071	7321740	493441	7218412	0.49284897787974286
case_054	429642	6280522	428791	6280522	0.19679465749233616
case_055	21522	152604	21522	234548	0.23047774652449465
case_056	154422	1788802	154348	1788802	0.3668666436396927
case_057	14978	484042	13967	495844	0.4357472227203023
case_058	940996	34263040	920331	33681408	0.30802845528455286
case_059	150598	2007040	150667	1968128	0.6180228648285138
case_060	181958	5732726	175251	5714294	0.33691257411691183
case_061	18275	80140	18176	80140	0.08154575320749032
case_062	656678	6420480	656678	6420480	0.0
case_063	238249	3081216	238249	3081216	0.0
case_064	12698	64110	12674	64110	0.2892296145392162
case_065	10864	168112	10835	282314	0.15975368210375082
case_066	187245	2279686	186295	2267142	0.3607527785151433
case_067	13310646	263329280	12955293	263230976	0.5922328407474209
case_068	220688	2596672	215999	2584192	0.24637095734156259
case_069	16374	284364	16229	316526	0.314853947351467
case_070	27785	924000	26808	933088	0.3987761219914031
case_071	13675	189416	13520	189416	0.2245194778049694
case_072	5020894	96448560	4996840	96931888	0.16751812781228
case_073	3222140	123355648	2690314	123354624	0.32594794381821474
case_074	353899	13901876	344084	14024756	0.33962679091464204
case_075	796959	6144568	795959	6181688	0.33064640932059314
case_076	1245861	22726656	1243002	22935552	0.48124858799608405
case_077	119902	172036	119902	172036	0.04249524703734156
case_078	477048	12036096	434873	11972064	0.6057813876862955
case_079	6014575	50350080	6027095	50731008	0.42573853738092593
case_080	85746	2289664	71890	2146304	0.37895812053115424
case_081	30943	0	30943	0	0.0
case_082	378812	1387094	378786	1387094	0.25435850810316224
case_083	197937	6533504	175637	6568320	0.49357149718642407
case_084	503576	0	503576	0	0.0
case_085	1308515	14103958	1305827	14110102	0.36286259438176155
case_086	70531	965232	70306	965232	0.2345525522278967
case_087	946790	7275190	946765	7633308	0.284376520454308
case_088	133583	932780	130501	932780	0.18805639159809
case_089	139048	954880	139048	954880	0.0
case_090	279869	9330432	217378	9331968	0.4891206095041322
case_091	1851494	44166816	1838217	43710624	0.38155459966150906
case_092	1058375	39271232	860752	39604576	0.7934322670560774
case_093	15876	32768	15876	32768	0.0
case_094	19995	207648	19995	207648	0.1190291638407131
case_095	420852	0	420852	0	0.0
case_096	20340	769388	19598	733804	0.48395907133544913
case_097	2102140	21069824	2101714	21069824	0.3119236369519495
case_098	59473	1246660	60655	1381812	0.34184753127999096
case_099	344341	4362240	342071	4399104	0.5695506074369484
case_100	55228	542764	55019	542764	0.5210248194632326
