Case	Makespan	Added Copy
case_001	117436	3456
case_002	144864	632832
case_003	525475	3831738
case_004	203443	340992
case_005	95618	0
case_006	39164	3456
case_007	509624	87552
case_008	244984	0
case_009	93198	133144
case_010	44232	234644
case_011	93168	1081344
case_012	30794	8064
case_013	133528	28672
case_014	8921114	62171040
case_015	87924	102912
case_016	7717473	1179680
case_017	80141	225796
case_018	517634	4046848
case_019	44120	181808
case_020	266956	0
case_021	3102375	6705152
case_022	29218	16396
case_023	61726	59520
case_024	2555343	0
case_025	2435650	221184
case_026	50487	322328
case_027	1116984	2211840
case_028	22123843	290306664
case_029	19866	6144
case_030	1408231	4614144
case_031	716701	4336128
case_032	19458	43032
case_033	906030	13768224
case_034	421245	682512
case_035	100346	232352
case_036	466636	3456
case_037	105875	737280
case_038	690953	4753920
case_039	698719	17285120
case_040	131153	710234
case_041	2994152	23107584
case_042	837160	7581696
case_043	345924	1478524
case_044	98663	333504
case_045	63525	16384
case_046	157682	6545568
case_047	323318	196478
case_048	222220	0
case_049	173464	519016
case_050	115083	119532
case_051	475589	9045242
case_052	91604	73728
case_053	777095	6347020
case_054	521150	862270
case_055	60247	57856
case_056	230090	2658608
case_057	32654	34304
case_058	2230995	37036032
case_059	370884	5046272
case_060	442450	3436556
case_061	45334	25344
case_062	1525115	6635520
case_063	571183	2488320
case_064	19116	0
case_065	27068	13824
case_066	227234	1187796
case_067	32041956	260341120
case_068	313437	296268
case_069	25144	0
case_070	60891	280080
case_071	14689	315604
case_072	11656349	103395376
case_073	5475172	142155520
case_074	829709	7294984
case_075	1267220	6186414
case_076	3063016	42680320
case_077	256335	1755666
case_078	1079167	15088512
case_079	14727236	40415232
case_080	151806	4509696
case_081	76986	6144
case_082	597017	3582736
case_083	542008	27412288
case_084	1254745	9216
case_085	2824308	7839426
case_086	110915	857996
case_087	2019084	21165936
case_088	214571	353936
case_089	347364	716160
case_090	613105	25277544
case_091	4565456	55247168
case_092	2859543	67625824
case_093	38120	28672
case_094	48996	258048
case_095	1046755	36864
case_096	42266	57360
case_097	5156692	11927552
case_098	110926	196616
case_099	810819	11452416
case_100	75837	241680
