Case	Makespan	Added Copy
case_001	59868	8064
case_002	83618	586752
case_003	537163	5366116
case_004	123445	801792
case_005	95618	0
case_006	35402	1012644
case_007	257738	201216
case_008	132493	0
case_009	93207	133144
case_010	27068	466476
case_011	47748	1261568
case_012	17120	49152
case_013	71542	61440
case_014	4544193	57951648
case_015	48025	636448
case_016	7721373	3539040
case_017	42605	536832
case_018	273273	5238788
case_019	24944	155652
case_020	134356	0
case_021	1552748	6656000
case_022	16099	176738
case_023	35660	492688
case_024	2555343	0
case_025	1233570	442368
case_026	49851	112928
case_027	561212	3317760
case_028	11187059	326145000
case_029	11028	0
case_030	713780	7672832
case_031	372774	4274688
case_032	14877	174216
case_033	453185	12309504
case_034	221599	5328920
case_035	100351	232224
case_036	234468	8064
case_037	57400	1925120
case_038	351803	12824580
case_039	387298	14336000
case_040	124580	1183440
case_041	1512421	23107584
case_042	437257	17639464
case_043	273419	1390218
case_044	98663	333504
case_045	36141	16384
case_046	140604	6512800
case_047	309058	1647326
case_048	195717	1104288
case_049	159057	690812
case_050	87338	2265402
case_051	391584	9045390
case_052	52322	525312
case_053	517400	7340460
case_054	521150	862270
case_055	35391	179736
case_056	268578	1174232
case_057	18602	259712
case_058	1238915	31711232
case_059	186084	5046272
case_060	227506	3737616
case_061	26121	236172
case_062	817374	8346624
case_063	306436	3173376
case_064	17673	120260
case_065	15208	55296
case_066	227131	1225624
case_067	16378384	266222976
case_068	308971	553994
case_069	18060	443880
case_070	31584	206348
case_071	12288	268176
case_072	5870346	121882972
case_073	3586589	142631168
case_074	417969	10870800
case_075	851846	6456122
case_076	1538377	24334336
case_077	155839	2712122
case_078	619420	15088512
case_079	7380188	45281280
case_080	107027	3317760
case_081	45083	6144
case_082	681146	8780854
case_083	391537	18068384
case_084	635321	9216
case_085	2559236	11189080
case_086	110915	857996
case_087	1134021	8004988
case_088	207736	2221104
case_089	183220	1671040
case_090	511597	25430856
case_091	2306206	64144392
case_092	1994466	68290464
case_093	20988	86016
case_094	28410	610080
case_095	541091	36864
case_096	27869	432708
case_097	2579804	11927552
case_098	82461	749728
case_099	410770	13365248
case_100	66664	487172
