problem,cores,algorithm,count,mean_normalized_makespan,mean_speedup_vs_baseline,mean_runtime
1,2,baseline,6,1.0,1.0,2.45229236666637
1,2,multiseed,6,0.8972006514206746,1.1307926582044139,46.678763049999965
1,2,vns,6,0.8734415128085959,1.1797581745857944,52.131232166666756
1,4,baseline,6,1.0,1.0,2.1445410333338564
1,4,multiseed,6,0.7658718252687139,1.452937472967775,47.39613816666648
1,4,vns,6,0.7465395899757252,1.5245522749259968,54.03684985000018
2,2,baseline,6,1.0,1.0,3.5244482333337146
2,2,multiseed,6,0.9269472609783761,1.0846637149549068,38.88419935000032
2,2,vns,6,0.9045936582095991,1.1141938316126925,53.19074618333374
2,4,baseline,6,1.0,1.0,2.6794841000000815
2,4,multiseed,6,0.8560467519041237,1.2599551109989,37.58408663333315
2,4,vns,6,0.822379385138924,1.3081229835960033,54.18931931666672
3,2,baseline,6,1.0,1.0,3.390729649999836
3,2,multiseed,6,0.9270635185893487,1.0844899423607053,39.56095155000003
3,2,vns,6,0.9047589513065246,1.1139437433185377,54.48949478333301
3,4,baseline,6,1.0,1.0,2.5654897833334567
3,4,multiseed,6,0.8563618094520098,1.2588930859693988,37.985760083332934
3,4,vns,6,0.8402206433189132,1.2844129619870563,54.388025899999775
