problem,trials,memory_spill_pearson,memory_makespan_pearson,surrogate_makespan_pearson
1,251,0.2942572454908791,0.8408519145463552,0.9943230257034377
2,305,0.6795296779549359,0.6363053201857822,0.9884384947387728
3,303,0.6821859050972822,0.6409476453019355,0.9888333082127214
