case_075 p1 n5: baseline=1509311, multiseed=1044196, vns=1033725
case_075 p2 n2: baseline=1215934, multiseed=1139870, vns=1116508
case_075 p2 n3: baseline=1139525, multiseed=771588, vns=770014
case_075 p2 n4: baseline=890238, multiseed=713059, vns=676638
case_075 p2 n5: baseline=944554, multiseed=807651, vns=796959
case_075 p3 n2: baseline=1215934, multiseed=1139714, vns=1116404
case_075 p3 n3: baseline=1139473, multiseed=771501, vns=769927
case_075 p3 n4: baseline=889872, multiseed=712250, vns=676010
case_075 p3 n5: baseline=944479, multiseed=806367, vns=795959
case_076 p1 n2: baseline=3199741, multiseed=3065568, vns=3063016
case_076 p1 n3: baseline=2233039, multiseed=2047373, vns=2047373
case_076 p1 n4: baseline=1754604, multiseed=1538377, vns=1538377
case_076 p1 n5: baseline=1435440, multiseed=1251283, vns=1251283
case_076 p2 n2: baseline=3242119, multiseed=3094078, vns=3094078
case_076 p2 n3: baseline=2159363, multiseed=2058366, vns=2057374
case_076 p2 n4: baseline=1689423, multiseed=1548743, vns=1548137
case_076 p2 n5: baseline=1313888, multiseed=1251104, vns=1245861
case_076 p3 n3: baseline=2158248, multiseed=2058197, vns=2056318
case_076 p3 n2: baseline=3226058, multiseed=3089587, vns=3089132
case_076 p3 n4: baseline=1676861, multiseed=1544775, vns=1544775
case_076 p3 n5: baseline=1296398, multiseed=1245498, vns=1243002
case_077 p1 n2: baseline=438756, multiseed=256473, vns=256335
case_077 p1 n3: baseline=386978, multiseed=184841, vns=168996
case_077 p1 n4: baseline=341675, multiseed=156792, vns=155839
case_077 p1 n5: baseline=288522, multiseed=128805, vns=128067
case_077 p2 n2: baseline=377498, multiseed=246445, vns=246432
case_077 p2 n3: baseline=304108, multiseed=180571, vns=167493
case_077 p2 n4: baseline=205113, multiseed=146460, vns=146113
case_077 p2 n5: baseline=174281, multiseed=119967, vns=119902
case_077 p3 n2: baseline=377394, multiseed=246445, vns=246432
case_077 p3 n3: baseline=303863, multiseed=180571, vns=167493
case_077 p3 n4: baseline=204455, multiseed=146044, vns=145697
case_078 p1 n2: baseline=1865879, multiseed=1080972, vns=1079167
case_078 p1 n3: baseline=2229664, multiseed=810043, vns=755234
case_077 p3 n5: baseline=173776, multiseed=119967, vns=119902
case_078 p1 n4: baseline=1786879, multiseed=619540, vns=619420
case_078 p2 n2: baseline=1945748, multiseed=1108936, vns=1088776
case_078 p1 n5: baseline=1753552, multiseed=581927, vns=502804
case_078 p2 n4: baseline=1741495, multiseed=567504, vns=540618
case_078 p2 n3: baseline=1632088, multiseed=712246, vns=710734
case_078 p3 n2: baseline=1945748, multiseed=1083672, vns=1074148
case_078 p2 n5: baseline=1661862, multiseed=477900, vns=477048
case_078 p3 n3: baseline=1632088, multiseed=712246, vns=707541
case_078 p3 n4: baseline=1741495, multiseed=567504, vns=529083
case_078 p3 n5: baseline=1661862, multiseed=453073, vns=434873
case_079 p1 n2: baseline=14727236, multiseed=14727236, vns=14727236
case_079 p1 n3: baseline=9827696, multiseed=9827696, vns=9827696
case_079 p1 n4: baseline=7380188, multiseed=7380188, vns=7380188
case_079 p1 n5: baseline=6164744, multiseed=6079537, vns=6030008
case_079 p2 n3: baseline=10254354, multiseed=9859507, vns=9859507
case_079 p2 n2: baseline=14860116, multiseed=14860116, vns=14860116
case_079 p2 n4: baseline=7651899, multiseed=7635624, vns=7621285
case_079 p2 n5: baseline=6336767, multiseed=6031014, vns=6014575
case_079 p3 n2: baseline=14860116, multiseed=14860116, vns=14860116
case_079 p3 n3: baseline=10254354, multiseed=9859507, vns=9859507
case_079 p3 n4: baseline=7643907, multiseed=7635624, vns=7621534
case_080 p1 n2: baseline=229243, multiseed=154856, vns=151806
case_079 p3 n5: baseline=6336767, multiseed=6028190, vns=6027095
case_080 p1 n3: baseline=198635, multiseed=104402, vns=104402
case_080 p1 n4: baseline=182633, multiseed=120559, vns=107027
case_080 p2 n2: baseline=184340, multiseed=145224, vns=145224
case_080 p1 n5: baseline=189472, multiseed=105097, vns=97266
case_080 p2 n3: baseline=150040, multiseed=101509, vns=101399
case_080 p2 n4: baseline=156943, multiseed=91774, vns=85853
case_080 p2 n5: baseline=166263, multiseed=89370, vns=85746
case_080 p3 n2: baseline=183747, multiseed=145224, vns=145224
case_080 p3 n3: baseline=142650, multiseed=101072, vns=98453
case_080 p3 n4: baseline=117263, multiseed=75571, vns=75189
case_080 p3 n5: baseline=128515, multiseed=76434, vns=71890
case_081 p1 n2: baseline=80185, multiseed=77305, vns=76986
case_081 p1 n3: baseline=56707, multiseed=52531, vns=52069
case_081 p1 n4: baseline=94593, multiseed=45741, vns=45083
case_081 p1 n5: baseline=241726, multiseed=38597, vns=36658
case_081 p2 n2: baseline=76860, multiseed=76860, vns=76860
case_081 p2 n3: baseline=51943, multiseed=51127, vns=50925
case_081 p2 n4: baseline=59870, multiseed=39588, vns=39435
case_081 p2 n5: baseline=139406, multiseed=30943, vns=30943
case_081 p3 n2: baseline=76860, multiseed=76860, vns=76860
case_081 p3 n3: baseline=51943, multiseed=51127, vns=50925
case_081 p3 n4: baseline=59653, multiseed=39588, vns=39435
case_081 p3 n5: baseline=139406, multiseed=30943, vns=30943
case_082 p1 n2: baseline=649758, multiseed=644445, vns=597017
case_082 p1 n3: baseline=715059, multiseed=668926, vns=643341
case_082 p1 n5: baseline=700878, multiseed=628551, vns=603864
case_082 p1 n4: baseline=710167, multiseed=691858, vns=681146
case_082 p2 n2: baseline=525486, multiseed=517479, vns=490931
case_082 p2 n3: baseline=464499, multiseed=464499, vns=408000
case_082 p2 n5: baseline=440062, multiseed=413676, vns=378812
case_082 p2 n4: baseline=425757, multiseed=425757, vns=391310
case_082 p3 n3: baseline=464183, multiseed=464183, vns=407632
case_082 p3 n2: baseline=525486, multiseed=517427, vns=490931
case_082 p3 n5: baseline=439167, multiseed=413592, vns=378786
case_082 p3 n4: baseline=424750, multiseed=424750, vns=390564
case_083 p1 n2: baseline=624895, multiseed=624895, vns=542008
case_083 p1 n3: baseline=728462, multiseed=537257, vns=512807
case_083 p1 n4: baseline=618763, multiseed=499310, vns=391537
case_083 p1 n5: baseline=553345, multiseed=451871, vns=438246
case_083 p2 n2: baseline=644672, multiseed=452216, vns=445555
case_083 p2 n3: baseline=573037, multiseed=306834, vns=297897
case_083 p2 n4: baseline=566704, multiseed=239126, vns=232560
case_083 p2 n5: baseline=450284, multiseed=202148, vns=197937
case_083 p3 n2: baseline=535329, multiseed=451778, vns=441435
case_083 p3 n3: baseline=492569, multiseed=308242, vns=294382
case_083 p3 n4: baseline=491915, multiseed=236177, vns=222621
case_083 p3 n5: baseline=371173, multiseed=195541, vns=175637
case_084 p1 n3: baseline=884732, multiseed=841700, vns=840465
case_084 p1 n2: baseline=1283172, multiseed=1255772, vns=1254745
case_084 p1 n4: baseline=672324, multiseed=637148, vns=635321
case_084 p1 n5: baseline=525620, multiseed=516404, vns=514369
case_084 p2 n2: baseline=1278332, multiseed=1255052, vns=1253876
