case_042 p2 n4: baseline=496876, multiseed=451869, vns=445255
case_042 p2 n5: baseline=450179, multiseed=376349, vns=367334
case_042 p3 n2: baseline=865919, multiseed=851748, vns=841158
case_042 p3 n3: baseline=625920, multiseed=583656, vns=578699
case_042 p3 n4: baseline=493029, multiseed=439185, vns=438804
case_042 p3 n5: baseline=446214, multiseed=375900, vns=354359
case_043 p1 n2: baseline=590740, multiseed=346822, vns=345924
case_043 p1 n3: baseline=551870, multiseed=273905, vns=273814
case_043 p1 n4: baseline=540954, multiseed=276486, vns=273419
case_043 p1 n5: baseline=706800, multiseed=274250, vns=272004
case_043 p2 n2: baseline=486551, multiseed=343864, vns=343864
case_043 p2 n3: baseline=439829, multiseed=262085, vns=262065
case_043 p2 n4: baseline=361262, multiseed=263990, vns=255010
case_043 p2 n5: baseline=355272, multiseed=266825, vns=264949
case_043 p3 n2: baseline=486551, multiseed=343864, vns=343864
case_043 p3 n3: baseline=439728, multiseed=262085, vns=262065
case_043 p3 n4: baseline=361017, multiseed=263990, vns=255010
case_044 p1 n2: baseline=210087, multiseed=99727, vns=98663
case_044 p1 n3: baseline=224893, multiseed=100222, vns=98644
case_043 p3 n5: baseline=354657, multiseed=266825, vns=264944
case_044 p1 n4: baseline=254232, multiseed=99727, vns=98663
case_044 p1 n5: baseline=270020, multiseed=101287, vns=99697
case_044 p2 n2: baseline=129770, multiseed=58375, vns=56489
case_044 p2 n3: baseline=144494, multiseed=63072, vns=61990
case_044 p2 n4: baseline=147904, multiseed=58136, vns=54445
case_044 p2 n5: baseline=179927, multiseed=67164, vns=53481
case_044 p3 n2: baseline=91627, multiseed=54550, vns=50676
case_044 p3 n3: baseline=92058, multiseed=49753, vns=46862
case_044 p3 n4: baseline=108470, multiseed=54376, vns=51792
case_044 p3 n5: baseline=125122, multiseed=56008, vns=48337
case_045 p1 n2: baseline=100949, multiseed=65200, vns=63525
case_045 p1 n3: baseline=80813, multiseed=44300, vns=44300
case_045 p1 n4: baseline=36611, multiseed=36611, vns=36141
case_045 p1 n5: baseline=114374, multiseed=31245, vns=29243
case_045 p2 n2: baseline=72128, multiseed=64655, vns=63287
case_045 p2 n3: baseline=55870, multiseed=43824, vns=43748
case_045 p2 n4: baseline=32265, multiseed=32265, vns=31961
case_045 p2 n5: baseline=61647, multiseed=26330, vns=26330
case_045 p3 n2: baseline=72128, multiseed=64655, vns=63287
case_045 p3 n3: baseline=55870, multiseed=43824, vns=43748
case_045 p3 n4: baseline=32265, multiseed=32265, vns=31961
case_046 p1 n2: baseline=259553, multiseed=158876, vns=157682
case_045 p3 n5: baseline=61081, multiseed=26330, vns=26330
case_046 p1 n3: baseline=277965, multiseed=149740, vns=140310
case_046 p1 n4: baseline=314606, multiseed=140604, vns=140604
case_046 p2 n2: baseline=225169, multiseed=112554, vns=112554
case_046 p1 n5: baseline=312160, multiseed=142576, vns=124057
case_046 p2 n4: baseline=256462, multiseed=79740, vns=79740
case_046 p2 n3: baseline=232377, multiseed=94635, vns=93895
case_046 p3 n2: baseline=212362, multiseed=112554, vns=112554
case_046 p2 n5: baseline=258753, multiseed=107468, vns=92654
case_046 p3 n3: baseline=212672, multiseed=89899, vns=83761
case_046 p3 n4: baseline=237179, multiseed=79740, vns=58152
case_046 p3 n5: baseline=235812, multiseed=87187, vns=64720
case_047 p1 n3: baseline=349614, multiseed=328274, vns=327779
case_047 p1 n2: baseline=340964, multiseed=326392, vns=323318
case_047 p1 n4: baseline=390543, multiseed=309268, vns=309058
case_047 p1 n5: baseline=392661, multiseed=325204, vns=325079
case_047 p2 n2: baseline=284857, multiseed=277030, vns=267843
case_047 p2 n3: baseline=276300, multiseed=213625, vns=212513
case_047 p2 n4: baseline=258030, multiseed=225107, vns=219981
case_047 p2 n5: baseline=236256, multiseed=236256, vns=228262
case_047 p3 n2: baseline=284857, multiseed=277030, vns=267843
case_047 p3 n3: baseline=276300, multiseed=213612, vns=212500
case_047 p3 n4: baseline=257917, multiseed=225059, vns=219900
case_048 p1 n2: baseline=250198, multiseed=222220, vns=222220
case_047 p3 n5: baseline=236160, multiseed=236160, vns=228195
case_048 p1 n3: baseline=213526, multiseed=213526, vns=195620
case_048 p1 n4: baseline=232297, multiseed=209925, vns=195717
case_048 p1 n5: baseline=240925, multiseed=217774, vns=216840
case_048 p2 n2: baseline=192447, multiseed=192447, vns=187709
case_048 p2 n3: baseline=162835, multiseed=162835, vns=162835
case_048 p2 n4: baseline=170735, multiseed=170735, vns=158240
case_048 p2 n5: baseline=152689, multiseed=152689, vns=148358
case_048 p3 n2: baseline=192447, multiseed=192447, vns=187709
case_048 p3 n3: baseline=162835, multiseed=162835, vns=162835
case_048 p3 n4: baseline=170595, multiseed=170595, vns=158134
case_048 p3 n5: baseline=152653, multiseed=152653, vns=148331
case_049 p1 n2: baseline=220242, multiseed=174609, vns=173464
case_049 p1 n3: baseline=221751, multiseed=179602, vns=176154
case_049 p1 n4: baseline=243163, multiseed=168397, vns=159057
case_049 p1 n5: baseline=228370, multiseed=160167, vns=153443
case_049 p2 n2: baseline=151915, multiseed=151915, vns=145441
case_049 p2 n3: baseline=141286, multiseed=141286, vns=135614
case_049 p2 n4: baseline=158504, multiseed=113805, vns=111102
case_049 p2 n5: baseline=165154, multiseed=125591, vns=116698
case_049 p3 n2: baseline=151915, multiseed=151915, vns=145441
case_049 p3 n3: baseline=141251, multiseed=141251, vns=135556
case_049 p3 n4: baseline=158435, multiseed=113792, vns=111088
case_049 p3 n5: baseline=165037, multiseed=125538, vns=116645
case_050 p1 n2: baseline=163349, multiseed=115714, vns=115083
case_050 p1 n3: baseline=172536, multiseed=90180, vns=88457
case_050 p1 n4: baseline=178483, multiseed=88233, vns=87338
case_050 p1 n5: baseline=210741, multiseed=111182, vns=101375
case_050 p2 n2: baseline=119065, multiseed=109054, vns=100839
case_050 p2 n3: baseline=104994, multiseed=70574, vns=68372
case_050 p2 n4: baseline=106443, multiseed=62926, vns=62740
case_050 p2 n5: baseline=127680, multiseed=91503, vns=79033
case_050 p3 n2: baseline=119059, multiseed=108946, vns=100795
case_050 p3 n3: baseline=104907, multiseed=70569, vns=68366
case_050 p3 n4: baseline=106117, multiseed=62835, vns=62692
case_050 p3 n5: baseline=127532, multiseed=91491, vns=79011
case_051 p1 n2: baseline=646701, multiseed=478038, vns=475589
case_051 p1 n3: baseline=664657, multiseed=411160, vns=392181
case_051 p1 n4: baseline=580646, multiseed=423376, vns=391584
case_051 p2 n2: baseline=623209, multiseed=419375, vns=412219
case_051 p1 n5: baseline=489376, multiseed=387495, vns=359404
case_051 p2 n3: baseline=501664, multiseed=328714, vns=312911
case_051 p2 n4: baseline=462305, multiseed=317994, vns=279790
case_051 p2 n5: baseline=423854, multiseed=222195, vns=212109
case_051 p3 n2: baseline=622794, multiseed=419375, vns=407973
case_051 p3 n3: baseline=501663, multiseed=327883, vns=313900
case_051 p3 n4: baseline=461885, multiseed=316749, vns=279601
case_052 p1 n2: baseline=127719, multiseed=95599, vns=91604
case_051 p3 n5: baseline=422194, multiseed=221056, vns=211201
case_052 p1 n3: baseline=106210, multiseed=71788, vns=65184
case_052 p1 n4: baseline=129481, multiseed=52322, vns=52322
case_052 p2 n2: baseline=98865, multiseed=84882, vns=84881
case_052 p1 n5: baseline=95048, multiseed=42762, vns=40690
case_052 p2 n4: baseline=78324, multiseed=49715, vns=46434
case_052 p2 n3: baseline=80406, multiseed=60000, vns=58693
case_052 p3 n2: baseline=98865, multiseed=84645, vns=84645
case_052 p2 n5: baseline=60432, multiseed=38940, vns=38023
case_052 p3 n3: baseline=80201, multiseed=60000, vns=58693
case_052 p3 n4: baseline=77807, multiseed=45988, vns=44422
case_052 p3 n5: baseline=59268, multiseed=38940, vns=37989
case_053 p1 n2: baseline=954481, multiseed=843941, vns=777095
case_053 p1 n3: baseline=1063132, multiseed=610255, vns=529453
case_053 p1 n5: baseline=783360, multiseed=507054, vns=501996
case_053 p1 n4: baseline=885862, multiseed=536264, vns=517400
case_053 p2 n2: baseline=953929, multiseed=824381, vns=764147
case_053 p2 n3: baseline=917192, multiseed=605888, vns=517826
case_053 p2 n4: baseline=779910, multiseed=512309, vns=494335
case_053 p2 n5: baseline=565632, multiseed=497099, vns=495071
case_053 p3 n3: baseline=884993, multiseed=591614, vns=495053
case_053 p3 n2: baseline=925725, multiseed=795661, vns=732130
case_053 p3 n4: baseline=767942, multiseed=511915, vns=494180
case_053 p3 n5: baseline=557613, multiseed=496156, vns=493441
case_054 p1 n3: baseline=649158, multiseed=532405, vns=532090
case_054 p1 n2: baseline=689740, multiseed=521976, vns=521150
case_054 p1 n4: baseline=648485, multiseed=522048, vns=521150
case_054 p1 n5: baseline=898874, multiseed=537637, vns=536292
case_054 p2 n2: baseline=606414, multiseed=510272, vns=510272
case_054 p2 n3: baseline=542027, multiseed=464874, vns=455974
case_054 p2 n4: baseline=464808, multiseed=455474, vns=449274
case_054 p2 n5: baseline=596076, multiseed=453929, vns=429642
case_054 p3 n3: baseline=542027, multiseed=464520, vns=455814
case_054 p3 n2: baseline=606414, multiseed=510272, vns=510272
case_054 p3 n4: baseline=464634, multiseed=454829, vns=448797
case_055 p1 n2: baseline=130254, multiseed=60767, vns=60247
case_054 p3 n5: baseline=595518, multiseed=452988, vns=428791
case_055 p1 n3: baseline=138563, multiseed=42524, vns=41563
case_055 p1 n4: baseline=83683, multiseed=36858, vns=35391
case_055 p2 n2: baseline=91588, multiseed=59924, vns=57154
case_055 p1 n5: baseline=137633, multiseed=30227, vns=29274
case_055 p2 n3: baseline=76938, multiseed=37931, vns=34331
case_055 p2 n4: baseline=60708, multiseed=35918, vns=32026
case_055 p2 n5: baseline=75940, multiseed=27169, vns=21522
case_055 p3 n2: baseline=91395, multiseed=59924, vns=57154
case_055 p3 n3: baseline=75994, multiseed=37931, vns=34331
case_055 p3 n4: baseline=58698, multiseed=35499, vns=34150
case_055 p3 n5: baseline=73538, multiseed=27169, vns=21522
case_056 p1 n3: baseline=307881, multiseed=277285, vns=277285
case_056 p1 n2: baseline=299538, multiseed=240223, vns=230090
case_056 p1 n4: baseline=323399, multiseed=269772, vns=268578
case_056 p1 n5: baseline=356816, multiseed=202105, vns=200587
