case,ops,eligible_ops,tensors,edges,critical_path,depth,width,components,pipe_M,pipe_V,communication_compute_ratio,max_fan_in,max_fan_out,sha256,load_seconds
case_066,6181,5962,6362,16324,32240,153,192,28,269694,170683,15.945973563560313,2,9,19dd21a60bec263170ece567fdd995c346d9b2e970a9836d4a43ff776a669078,0.16104099999938626
case_067,8996,8804,9117,23246,863040,123,71,71,58915232,2360608,1.0820912124582869,2,2,9d337e353a487bf167699c93ee61e103dd7deca2f94b1b6ed7ea1078df339aef,0.2819481000005908
case_068,5853,5351,6260,15148,48319,263,220,32,249101,154696,15.91255011800484,2,9,e036355a9896d114dfcdece68c249b08e4aa535c421a8040043c65cbb3b9c99b,0.196241600000576
case_069,1074,1032,1110,2844,2298,45,144,1,16674,15288,36.98391840310369,2,6,5fc5fd7479ccbd6b73208a50d6cc51a87cb02eb995aa875626983028f8ff6310,0.04773220000060974
case_070,1437,1191,1630,3424,4054,34,213,38,91832,47214,12.99344101951872,2,14,3a51d745a6034b7bfed4781fcf3f664ea55fd9755a287be4e6a6e67e669b37bc,0.04554710000047635
case_071,781,741,816,2063,2298,45,100,1,12534,10954,36.07629427792916,2,6,4463364a16718f9d99f7bdd05864dc62cfdc9dd45970261586fb73452ebb5f20,0.015990800000508898
case_072,31387,29666,32624,88639,31968,250,11082,476,22928094,1708199,7.402668250454726,2,9,fb08ad645f1faac3d62d6dd6c27a05e8096b4f51562caf7eb3d74f3b9983f1d1,1.039359799999147
case_073,4964,4836,5053,12814,220224,123,39,39,8160672,428064,1.060156931124673,2,2,e8b0def9e7a57df1eef60291f289922a76081399dadcfb360311bca8b7c3ca88,0.14674310000009427
case_074,4269,3609,4833,11541,3091,38,1474,73,1579424,198420,8.440172478575173,2,11,4a7a51f0b0e48d970e6afd30e318a6595918dc5e4320b27e997b26fc274ce75b,0.14856829999916954
case_075,7684,7410,7953,20378,182300,459,105,1,1107520,644660,8.604558892351243,2,6,42ab22c444c7cbdb09526261e1133df38b0f789658b91006a5cd5aa16c4f2ef2,0.19263870000031602
case_076,35076,32528,36815,99916,2774,12,15270,809,6061644,947248,13.055532885939746,2,2,3efe0c6d0bcd48e783b5d77b45d5488e4c4b7211532e673c051ade2e821fec38,1.0799495999999635
case_077,4872,4486,5208,12652,15619,134,213,41,415406,136672,13.283267944022402,2,9,151ca349906b7bd2becc900f76d56fb0cc8b86dcdcae4e0915fefa9455d63721,0.1408995000001596
case_078,1094,1024,1156,2812,246816,123,16,8,2037888,103296,2.703012912482066,2,2,287022b6bd3a46620ba21c467ce885bbfba423a76aab31a080e98d3e4a2251df,0.028794699999707518
case_079,20130,18720,21252,58980,5952,7,9504,288,29424384,3760128,6.825244740679025,2,1,8c13f61fc8a44291c8d025d5ce3c97fffd9e67dfbbed8aaff12ae0f67c2f80f5,0.6071623000007094
case_080,1395,1098,1674,3888,746,6,558,18,289044,20520,14.290033724851726,2,1,a74bd514bee64f3d1741191234efad8cfa18aaf31d30ecb445792a2ba478644c,0.050086999999621185
case_081,4505,3485,5185,11220,407,11,680,85,0,151725,18.38879551820728,2,5,73d4b3773270d03c5da1a6605665447cea2008ba52bb324efc33cad3979e2158,0.10026070000094478
case_082,4209,4113,4298,11187,54690,137,196,1,567936,359766,8.973709229903568,2,7,7ef4a6efcb7b6c06a0ac8db8039cfcfe857b680747eb7ddd68d9b52cde4248f0,0.11308230000031472
case_083,3956,3844,4037,10206,28456,123,31,31,810836,71300,16.40933370818105,2,2,f5b083fde677440d9d15ea2f124876f6952c8633c7189e94ffbd8188dab000bb,0.0992353000001458
case_084,14001,8616,18309,33387,2328,7,1077,1077,1266552,1240704,13.938144329896907,2,2,4b044731bf1b892ea2f3fff50a49953099cbe27a5bd6b66f1db6ffb5f1fd43be,0.37324099999932514
case_085,19993,19737,20240,53243,165564,449,324,1,2565216,1724706,9.326670275123883,2,9,4c52f4062bf8e88a11a36502b4bc476e0dfe3454f35c8c7d9cf3dfabf5c2c825,0.5705740000012156
case_086,5372,5274,5462,14290,6894,137,256,1,79182,78060,38.958751478612584,2,8,dd6e3a0d2e49c6a1f2237868eba9c7ecf7cb95daec728369f4e39dc292922c7b,0.17555039999933797
case_087,28666,27556,29569,77339,82063,381,3066,196,3593280,882784,11.961063112591777,2,9,60c98e279bb891a583e96877d967765fa4a48a701351c3c8880312d01f931b4e,0.8389532000001054
case_088,3577,3309,3811,9270,32229,175,100,31,173608,99744,16.619384529836985,2,9,70fd5131ce8a77d3875d1c6fad8d0327616930e65e4109652b3d3d77bb214407,0.1649701999995159
case_089,5254,5120,5348,13628,16272,123,80,40,589120,109760,13.802197802197803,2,2,e3a966d5db7db2f103dd72e90d67f8540efc99c80370fea90477f3703e1b6f7d,0.1334141000006639
case_090,1744,1664,1811,4502,63936,123,26,13,840528,59280,2.6130374479889045,2,2,b9e4cb3d2704a892ca8de43f07fb51f18d211c1e486659b21088ef8942f5e25a,0.04049049999957788
case_091,33497,31554,34927,96492,56912,123,14803,513,8981360,931710,9.276809303273355,2,4,1e67219afc1572c197fc3f98fff58cb12746e087592f006ce47f307fc79eb756,1.0073362999992241
case_092,17942,17608,18134,46392,28456,123,142,142,3714152,326600,16.40933370818105,2,2,40e015a7d9a625b102d3680a6294c4beeec8aec7a49115954e7422cf6e5bbb65,0.5954308999989735
case_093,901,552,1181,2285,400,3,276,69,73968,12144,11.487179487179487,2,1,fcb036fca929ffe82934df08dd48b101c8ef4345b6d175b0bebf53f0dba0b2b1,0.032930199999100296
case_094,791,647,895,1925,2484,35,108,40,70944,36616,21.05076236519152,2,2,7a7254bf8e73765a848765461f6d1eba25fcad7d066f9bc9f399d7964bd827a1,0.020134099999268074
case_095,6006,3696,7854,14322,4512,7,462,462,1069992,1014552,28.680851063829788,2,2,989c77a407d650d65c5cb67bde5b310f86a2549172776891508ac83ab0aba51c,0.16707339999993565
case_096,1362,1198,1476,3200,9417,118,93,50,40144,53130,25.277612196324807,2,14,7c4fa0a426872c92458ed29b678b997b4c2a8c676372dc0f0ebc23664fb4a084,0.029393799999525072
case_097,7488,6592,8320,21568,23904,51,3328,64,10303488,1331712,6.894257425742574,2,1,ed52339689a26e5b513f8f1deacaa5d41c6be2cdd073ea1a9b24c7ecf38842f5,0.19220640000094136
case_098,1553,1365,1700,3615,6783,50,98,27,17296,162701,40.12834658355417,2,13,0d7dc2f7679817a21cf0cfef4b42b2673b499619cb3d572a618cdc3d588cb9c7,0.049012599998604856
case_099,7054,6296,7610,19599,2826,28,2810,202,1595484,144720,7.021923866397273,2,2,c91884194d008ed02a085a05f0835544fed9a32046bc7f74f420adf2081ee132,0.16423679999934393
case_100,1654,1394,1825,4014,4830,51,187,43,62556,102007,25.188456700473374,2,14,021ff19fb13cb80d2d9d4ded056cf04979f7473860745a59d741d972502bc0a1,0.053507799999351846
