case_id,n_cores,no_l2_makespan,no_l2_added_copy,l2_makespan,l2_added_copy,cache_hit_rate
case_022,4,14669,57152,14669,57152,0.2109214512672726
case_022,5,13131,19212,12611,44584,0.15796544505889337
case_023,1,122614,0,122614,0,0.0
case_023,2,49014,376992,49014,376992,0.15495445305137887
case_023,3,32103,731812,31999,738980,0.2212870403815774
case_023,4,26759,875166,25056,902310,0.25628379243443405
case_023,5,26199,317742,25243,347436,0.37423772333368993
case_024,1,2555343,0,2555343,0,0.0
case_024,2,2555343,0,2555343,0,0.0
case_024,3,2555343,0,2555343,0,0.0
case_024,4,2465429,1049968,2465429,1049968,0.6276409499758817
case_024,5,2464078,985128,2463248,985128,0.642480214913236
case_025,1,4863026,0,4863026,0,0.0
case_025,2,2433638,27648,2433638,27648,0.0
case_025,3,1622164,55296,1622164,55296,0.0
case_025,4,1217444,82944,1217444,82944,0.0
case_025,5,977132,110592,977132,110592,0.0
case_026,1,99203,0,99203,0,0.0
case_026,2,52493,48404,51818,66852,0.036096196363308214
case_026,3,39226,596400,38049,543672,0.416269546335563
case_026,4,37050,889680,33134,666348,0.44222658481138105
case_026,5,32717,718832,31575,680436,0.4379977937120794
case_027,1,2363952,1400832,2359515,1400832,0.2689393939393939
case_027,2,1120962,1744896,1120962,1744896,0.08904109589041095
case_027,3,788058,14323712,787682,14661632,0.11668255481410868
case_027,4,559196,1843200,559196,1843200,0.0
case_027,5,537081,2955264,537081,2955264,0.2868817204301075
case_028,1,43836040,277412256,43836040,277412256,0.0
case_028,2,23638628,277473600,23615145,277473600,0.0047431470336763695
case_028,3,15601774,267822360,15654706,267822360,0.08719367646086174
case_028,4,12519267,277358856,13552804,277676160,0.012422805902928035
case_028,5,9304175,213467088,8890874,213682200,0.5342252196835471
case_029,1,37555,0,37555,0,0.0
case_029,2,19740,0,19740,0,0.0
case_029,3,12743,0,12743,0,0.0
case_029,4,10440,12296,10440,12296,0.030524338987092735
case_029,5,9383,0,9383,0,0.0
case_030,1,2808034,5519360,2807891,5519360,0.259867995341012
case_030,2,1401507,4327424,1401078,4327424,0.38884656407130885
case_030,3,934706,5675008,934706,5675008,0.5073183832415737
case_030,4,705508,4503552,705517,4503552,0.5023068909063849
case_030,5,565308,8413192,565111,8413192,0.5997317640873291
case_031,1,1414369,3491328,1414159,3491328,0.26059362793218216
case_031,2,718761,3336196,717505,3336196,0.3455365264424253
case_031,3,486205,6440236,484527,6440236,0.5232243883559673
case_031,4,363952,7433068,362887,7390060,0.540417713534544
case_031,5,299175,3631120,298956,3631120,0.42668576761356397
case_032,1,41443,0,41443,0,0.0
case_032,2,18041,149730,18383,147704,0.25350774771922185
case_032,3,13132,30750,12829,336180,0.31630444194302537
case_032,4,11187,116840,11128,125024,0.2741425468505329
case_032,5,11228,53280,10572,30736,0.09913386944792245
case_033,1,1774196,4592640,1774080,4592640,0.09627692445862406
case_033,2,894613,8222208,894102,8222208,0.312537932850719
case_033,3,593966,6113280,592782,6033408,0.3998707252206789
case_033,4,445599,6517248,445508,6529536,0.5028511636518675
case_033,5,361655,5970432,361126,5970432,0.34071102579959667
case_034,1,842996,1079832,842733,1079832,0.309046599146855
case_034,2,419487,768172,419487,768172,0.16859483906537545
case_034,3,271473,3272216,271277,3332640,0.3674446007526843
case_034,4,207665,3491360,206722,3491360,0.45908169601537147
case_034,5,175084,2600960,173520,2694144,0.49695866290533736
