case_id,n_cores,makespan,added_copy
case_052,2,91604,73728
case_052,3,65184,331776
case_052,4,52322,525312
case_052,5,40690,624396
case_053,1,1472686,5405536
case_053,2,777095,6347020
case_053,3,529453,6896886
case_053,4,517400,7340460
case_053,5,501996,8472194
case_054,1,815051,0
case_054,2,521150,862270
case_054,3,532090,2803848
case_054,4,521150,862270
case_054,5,536292,1098668
case_055,1,118835,69632
case_055,2,60247,57856
case_055,3,41563,226344
case_055,4,35391,179736
case_055,5,29274,143884
case_056,1,277285,0
case_056,2,230090,2658608
case_056,3,277285,0
case_056,4,268578,1174232
case_056,5,200587,3919524
case_057,1,59726,94216
case_057,2,32654,34304
case_057,3,20786,171580
case_057,4,18602,259712
case_057,5,24565,304772
case_058,1,4539717,28696576
case_058,2,2230995,37036032
case_058,3,1507201,41361408
case_058,4,1238915,31711232
case_058,5,1016707,32079872
case_059,1,829473,1691648
case_059,2,370884,5046272
case_059,3,257760,8646656
case_059,4,186084,5046272
case_059,5,161567,7524352
case_060,1,888789,2068520
case_060,2,442450,3436556
case_060,3,297886,3340312
case_060,4,227506,3737616
case_060,5,187535,6707204
case_061,1,77191,0
case_061,2,45334,25344
case_061,3,33986,172560
case_061,4,26121,236172
case_061,5,22525,277792
case_062,1,2854809,0
case_062,2,1525115,6635520
case_062,3,1042967,9581568
case_062,4,817374,8346624
case_062,5,698055,10180608
case_063,1,1070397,0
case_063,2,571183,2488320
case_063,3,396175,2485248
case_063,4,306436,3173376
case_063,5,247588,3259392
case_064,1,19116,0
case_064,2,19116,0
case_064,3,19116,0
case_064,4,17673,120260
case_064,5,19116,0
case_065,1,53068,0
case_065,2,27068,13824
case_065,3,18884,41472
case_065,4,15208,55296
case_065,5,13800,263364
case_066,1,359070,0
case_066,2,227234,1187796
case_066,3,230699,3811240
case_066,4,227131,1225624
case_066,5,238920,3814312
case_067,1,63834834,264449408
case_067,2,32041956,260341120
case_067,3,21698371,264596864
case_067,4,16378384,266222976
case_067,5,13955513,266327296
case_068,1,362095,0
case_068,2,313437,296268
case_068,3,309897,810152
case_068,4,308971,553994
case_068,5,299334,2971960
case_069,1,25144,0
case_069,2,25144,0
case_069,3,16385,290740
case_069,4,18060,443880
case_069,5,25144,0
case_070,1,117300,0
case_070,2,60891,280080
case_070,3,39454,101888
case_070,4,31584,206348
case_070,5,31427,426004
case_071,1,18919,0
case_071,2,14689,315604
case_071,3,12505,240596
case_071,4,12288,268176
case_071,5,18919,0
case_072,1,23897828,108613680
case_072,2,11656349,103395376
case_072,3,7787041,108765574
case_072,4,5870346,121882972
case_072,5,4986014,88027184
case_073,1,10081626,141570432
case_073,2,5475172,142155520
case_073,3,3891862,141453568
case_073,4,3586589,142631168
case_073,5,3266085,142607616
case_074,1,1682239,6070280
case_074,2,829709,7294984
case_074,3,554121,8114184
case_074,4,417969,10870800
case_074,5,356951,9551880
case_075,1,1441809,0
case_075,2,1267220,6186414
case_075,3,1172753,5416156
case_075,4,851846,6456122
case_075,5,1033725,8238302
case_076,1,6185113,28280832
case_076,2,3063016,42680320
case_076,3,2047373,22446080
case_076,4,1538377,24334336
case_076,5,1251283,52546560
case_077,1,495320,0
case_077,2,256335,1755666
case_077,3,168996,990826
case_077,4,155839,2712122
case_077,5,128067,453338
case_078,1,2296143,12644568
case_078,2,1079167,15088512
case_078,3,755234,15381336
case_078,4,619420,15088512
case_078,5,502804,15463296
case_079,1,31052251,32448512
case_079,2,14727236,40415232
case_079,3,9827696,40415232
case_079,4,7380188,45281280
case_079,5,6030008,75737088
case_080,1,292138,548864
case_080,2,151806,4509696
case_080,3,104402,1904640
case_080,4,107027,3317760
case_080,5,97266,3416064
case_081,1,151795,0
case_081,2,76986,6144
case_081,3,52069,6144
case_081,4,45083,6144
case_081,5,36658,6144
case_082,1,721041,0
case_082,2,597017,3582736
case_082,3,643341,1828040
case_082,4,681146,8780854
case_082,5,603864,1745406
case_083,1,1057993,13934688
case_083,2,542008,27412288
case_083,3,512807,16043072
case_083,4,391537,18068384
case_083,5,438246,17985728
case_084,1,2507412,0
case_084,2,1254745,9216
case_084,3,840465,9216
case_084,4,635321,9216
case_084,5,514369,9216
case_085,1,3187899,0
case_085,2,2824308,7839426
case_085,3,2781908,9790344
case_085,4,2559236,11189080
case_085,5,2740213,6901434
case_086,1,118403,0
case_086,2,110915,857996
case_086,3,99359,3274642
case_086,4,110915,857996
case_086,5,106031,1036278
case_087,1,3974071,7902720
case_087,2,2019084,21165936
case_087,3,1514315,7908188
case_087,4,1134021,8004988
case_087,5,950648,8155762
case_088,1,243623,0
case_088,2,214571,353936
case_088,3,197820,2041338
case_088,4,207736,2221104
case_088,5,189284,2300112
case_089,1,693092,0
case_089,2,347364,716160
case_089,3,244380,9104128
case_089,4,183220,1671040
case_089,5,156404,2148480
case_090,1,1178363,21233592
case_090,2,613105,25277544
case_090,3,506670,25462464
case_090,4,511597,25430856
case_090,5,498371,25899264
case_091,1,9186769,53947008
case_091,2,4565456,55247168
case_091,3,3047290,61014016
case_091,4,2306206,64144392
case_091,5,1865476,69540352
case_092,1,4815554,66000096
case_092,2,2859543,67625824
case_092,3,2246154,68862560
case_092,4,1994466,68290464
case_092,5,1637969,70015840
case_093,1,74205,0
case_093,2,38120,28672
case_093,3,27470,45056
case_093,4,20988,86016
case_093,5,18565,155648
case_094,1,94892,0
case_094,2,48996,258048
case_094,3,37896,133632
case_094,4,28410,610080
case_094,5,23280,502752
case_095,1,2084853,0
case_095,2,1046755,36864
case_095,3,696802,0
case_095,4,541091,36864
case_095,5,423985,36864
case_096,1,84194,0
case_096,2,42266,57360
case_096,3,35867,183700
case_096,4,27869,432708
case_096,5,27424,166028
case_097,1,11491509,10584064
case_097,2,5156692,11927552
case_097,3,3556774,36878336
case_097,4,2579804,11927552
case_097,5,2115485,29523968
case_098,1,177430,0
case_098,2,110926,196616
case_098,3,82805,1700370
case_098,4,82461,749728
case_098,5,91950,147500
case_099,1,1622999,5484544
case_099,2,810819,11452416
case_099,3,549360,12693504
case_099,4,410770,13365248
case_099,5,342700,5971968
case_100,1,151223,0
case_100,2,75837,241680
case_100,3,62269,334356
case_100,4,66664,487172
case_100,5,60344,221200
