case_id,n_cores,makespan,added_copy
case_020,4,133635,16384
case_020,5,110690,36864
case_021,1,6567937,4501504
case_021,2,3194014,3223552
case_021,3,2160509,15859712
case_021,4,1561183,7671808
case_021,5,1250168,10919936
case_022,1,56780,0
case_022,2,28489,0
case_022,3,19410,57908
case_022,4,14669,57152
case_022,5,13131,19212
case_023,1,122614,0
case_023,2,49014,376992
case_023,3,32103,731812
case_023,4,26759,875166
case_023,5,26199,317742
case_024,1,2555343,0
case_024,2,2555343,0
case_024,3,2555343,0
case_024,4,2465429,1049968
case_024,5,2464078,985128
case_025,1,4863026,0
case_025,2,2433638,27648
case_025,3,1622164,55296
case_025,4,1217444,82944
case_025,5,977132,110592
case_026,1,99203,0
case_026,2,52493,48404
case_026,3,39226,596400
case_026,4,37050,889680
case_026,5,32717,718832
case_027,1,2363952,1400832
case_027,2,1120962,1744896
case_027,3,788058,14323712
case_027,4,559196,1843200
case_027,5,537081,2955264
case_028,1,43836040,277412256
case_028,2,23638628,277473600
case_028,3,15601774,267822360
case_028,4,12519267,277358856
case_028,5,9304175,213467088
case_029,1,37555,0
case_029,2,19740,0
case_029,3,12743,0
case_029,4,10440,12296
case_029,5,9383,0
case_030,1,2808034,5519360
case_030,2,1401507,4327424
case_030,3,934706,5675008
case_030,4,705508,4503552
case_030,5,565308,8413192
case_031,1,1414369,3491328
case_031,2,718761,3336196
case_031,3,486205,6440236
case_031,4,363952,7433068
case_031,5,299175,3631120
case_032,1,41443,0
case_032,2,18041,149730
case_032,3,13132,30750
case_032,4,11187,116840
case_032,5,11228,53280
case_033,1,1774196,4592640
case_033,2,894613,8222208
case_033,3,593966,6113280
case_033,4,445599,6517248
case_033,5,361655,5970432
case_034,1,842996,1079832
case_034,2,419487,768172
case_034,3,271473,3272216
case_034,4,207665,3491360
case_034,5,175084,2600960
case_035,1,169571,0
case_035,2,99275,73382
case_035,3,98323,0
case_035,4,98174,522478
case_035,5,97907,667260
case_036,1,931510,0
case_036,2,466068,1152
case_036,3,311345,2304
case_036,4,233584,3456
case_036,5,187182,4608
case_037,1,210001,0
case_037,2,105374,204800
case_037,3,71032,905216
case_037,4,53320,614400
case_037,5,43013,819200
case_038,1,1364555,5627904
case_038,2,673452,2000024
case_038,3,454994,8191488
case_038,4,349139,4368384
case_038,5,280538,8565760
case_039,1,1435262,7929856
case_039,2,705060,9105408
case_039,3,480630,20086784
case_039,4,353390,11030528
case_039,5,317066,10366976
case_040,1,253454,0
case_040,2,130995,53760
case_040,3,111804,117094
case_040,4,116144,94470
case_040,5,81091,1883828
case_041,1,6003957,30898176
case_041,2,3013832,24317952
case_041,3,2007756,24100864
case_041,4,1511329,23288832
case_041,5,1215630,23731204
case_042,1,1686740,6629376
case_042,2,847773,7415808
case_042,3,574557,17031200
case_042,4,445255,6934528
case_042,5,367334,7676928
case_043,1,677656,49160
case_043,2,343864,627992
case_043,3,262065,445558
case_043,4,255010,291756
case_043,5,264949,471286
case_044,1,154407,4438112
case_044,2,56489,1137248
case_044,3,61990,2182848
case_044,4,54445,1977120
case_044,5,53481,1944160
case_045,1,125614,0
case_045,2,63287,16384
case_045,3,43748,16384
case_045,4,31961,0
case_045,5,26330,0
case_046,1,276455,3176288
case_046,2,112554,930400
case_046,3,93895,3062976
case_046,4,79740,2791200
case_046,5,92654,3738880
case_047,1,326508,0
case_047,2,267843,854150
case_047,3,212513,1610124
case_047,4,219981,2181904
case_047,5,228262,1546456
case_048,1,222220,0
case_048,2,187709,463302
case_048,3,162835,827660
case_048,4,158240,947026
case_048,5,148358,1165910
case_049,1,196276,0
case_049,2,145441,614802
case_049,3,135614,957994
case_049,4,111102,662268
case_049,5,116698,766966
case_050,1,149690,0
case_050,2,100839,205766
case_050,3,68372,896938
case_050,4,62740,660822
case_050,5,79033,480256
case_051,1,607628,0
case_051,2,412219,393956
case_051,3,312911,721816
case_051,4,279790,1246236
case_051,5,212109,1705216
case_052,1,180301,0
case_052,2,84881,419380
case_052,3,58693,687906
case_052,4,46434,198144
case_052,5,38023,353800
case_053,1,1472686,5405536
case_053,2,764147,6691798
case_053,3,517826,6261728
case_053,4,494335,6764378
case_053,5,495071,7321740
case_054,1,815051,0
case_054,2,510272,49152
case_054,3,455974,3647684
case_054,4,449274,5452072
case_054,5,429642,6280522
case_055,1,118835,69632
case_055,2,57154,61980
case_055,3,34331,90624
case_055,4,32026,109080
case_055,5,21522,152604
case_056,1,277285,0
case_056,2,190015,679994
case_056,3,181961,1352776
case_056,4,196471,1836178
case_056,5,154422,1788802
case_057,1,59726,94216
case_057,2,28834,329606
case_057,3,20132,24064
case_057,4,16447,50706
case_057,5,14978,484042
case_058,1,4539717,28696576
case_058,2,2257752,28512256
case_058,3,1500577,31592448
case_058,4,1130511,42266624
case_058,5,940996,34263040
case_059,1,829473,1691648
case_059,2,369318,360448
case_059,3,252305,1822720
case_059,4,185216,1081344
case_059,5,150598,2007040
case_060,1,888789,2068520
case_060,2,443206,2108456
case_060,3,291567,3728456
case_060,4,227462,2288656
case_060,5,181958,5732726
case_061,1,77191,0
case_061,2,41593,34560
case_061,3,28490,29456
case_061,4,22219,156688
case_061,5,18275,80140
case_062,1,2854809,0
case_062,2,1517850,6377472
case_062,3,1064140,10361856
case_062,4,811802,6377472
case_062,5,656678,6420480
case_063,1,1070397,0
case_063,2,565481,2856960
case_063,3,388538,2792448
case_063,4,296780,2664960
case_063,5,238249,3081216
case_064,1,19116,0
case_064,2,15256,39174
case_064,3,12434,73612
case_064,4,13860,53672
case_064,5,12698,64110
case_065,1,53068,0
case_065,2,21893,101008
case_065,3,16407,292020
case_065,4,12794,50688
case_065,5,10864,168112
case_066,1,359070,0
case_066,2,215568,350420
case_066,3,195074,1684424
case_066,4,177712,1520402
case_066,5,187245,2279686
case_067,1,63834834,264449408
case_067,2,33768704,264024576
case_067,3,21315128,244452096
case_067,4,16369483,272247424
case_067,5,13310646,263329280
case_068,1,362095,0
case_068,2,283789,1435230
case_068,3,230707,1903456
case_068,4,227697,2346948
case_068,5,220688,2596672
case_069,1,25144,0
case_069,2,14263,124804
case_069,3,13549,195784
case_069,4,13975,133254
case_069,5,16374,284364
case_070,1,117300,0
case_070,2,57739,101888
case_070,3,39454,101892
case_070,4,30489,118288
case_070,5,27785,924000
case_071,1,18919,0
case_071,2,11259,117796
case_071,3,9952,139974
case_071,4,9194,123944
case_071,5,13675,189416
case_072,1,23897828,108613680
case_072,2,11958823,83324976
case_072,3,8030776,101060656
case_072,4,5990292,102689084
case_072,5,5020894,96448560
case_073,1,10081626,141570432
case_073,2,5414140,125454720
case_073,3,3806377,143758464
case_073,4,3566462,127371392
case_073,5,3222140,123355648
case_074,1,1682239,6070280
case_074,2,834579,11358224
case_074,3,552262,7208968
case_074,4,409612,7454724
case_074,5,353899,13901876
case_075,1,1441809,0
case_075,2,1116508,2494502
case_075,3,770014,4328940
case_075,4,676638,5891090
case_075,5,796959,6144568
case_076,1,6185113,28280832
case_076,2,3094078,22297600
case_076,3,2057374,22785024
case_076,4,1548137,21839872
case_076,5,1245861,22726656
case_077,1,495320,0
case_077,2,246432,57344
case_077,3,167493,540266
case_077,4,146113,233472
case_077,5,119902,172036
case_078,1,2296143,12644568
case_078,2,1088776,5096064
case_078,3,710734,6038784
case_078,4,540618,6562176
case_078,5,477048,12036096
case_079,1,31052251,32448512
case_079,2,14860116,31944704
case_079,3,9859507,32677888
case_079,4,7621285,30420992
case_079,5,6014575,50350080
case_080,1,292138,548864
case_080,2,145224,1650688
case_080,3,101399,909312
case_080,4,85853,2379776
case_080,5,85746,2289664
case_081,1,151795,0
case_081,2,76860,0
case_081,3,50925,502286
case_081,4,39435,20496
case_081,5,30943,0
case_082,1,721041,0
case_082,2,490931,1800326
case_082,3,408000,1892236
case_082,4,391310,2720304
case_082,5,378812,1387094
case_083,1,1057993,13934688
case_083,2,445555,2187872
case_083,3,297897,3257536
case_083,4,232560,4144928
case_083,5,197937,6533504
case_084,1,2507412,0
case_084,2,1253876,9216
case_084,3,839098,9216
case_084,4,633736,0
case_084,5,503576,0
case_085,1,3187899,0
case_085,2,2310652,4548614
case_085,3,1705149,7682444
case_085,4,1746680,9911314
case_085,5,1308515,14103958
case_086,1,118403,0
case_086,2,84388,452934
case_086,3,66789,1077548
case_086,4,81421,1576786
case_086,5,70531,965232
case_087,1,3974071,7902720
case_087,2,1992229,6872054
case_087,3,1412551,7490354
case_087,4,1044566,7051766
case_087,5,946790,7275190
case_088,1,243623,0
case_088,2,161350,829080
case_088,3,136104,1338180
case_088,4,183402,1065298
case_088,5,133583,932780
case_089,1,693092,0
case_089,2,346832,238720
case_089,3,231898,1235200
case_089,4,173472,716160
case_089,5,139048,954880
case_090,1,1178363,21233592
case_090,2,601447,13501824
case_090,3,395863,9327360
case_090,4,272778,6821760
case_090,5,279869,9330432
case_091,1,9186769,53947008
case_091,2,4597574,47462016
case_091,3,3096231,34078944
case_091,4,2325462,33141060
case_091,5,1851494,44166816
case_092,1,4815554,66000096
case_092,2,2713229,66108064
case_092,3,1951164,66555392
case_092,4,1672822,67002752
case_092,5,1058375,39271232
case_093,1,74205,0
case_093,2,37827,8192
case_093,3,25301,57344
case_093,4,19254,282624
case_093,5,15876,32768
case_094,1,94892,0
case_094,2,38659,230688
case_094,3,28647,825416
case_094,4,26798,316192
case_094,5,19995,207648
case_095,1,2084853,0
case_095,2,1042890,0
case_095,3,695775,0
case_095,4,528831,36864
case_095,5,420852,0
case_096,1,84194,0
case_096,2,41959,57364
case_096,3,30447,389148
case_096,4,26601,713328
case_096,5,20340,769388
case_097,1,11491509,10584064
case_097,2,5497237,11821056
case_097,3,3588775,15372288
case_097,4,2624686,14438400
case_097,5,2102140,21069824
case_098,1,177430,0
case_098,2,102886,196620
case_098,3,60568,586060
case_098,4,61188,1196348
case_098,5,59473,1246660
case_099,1,1622999,5484544
case_099,2,807776,4108288
case_099,3,539310,3981772
case_099,4,415285,3997696
case_099,5,344341,4362240
case_100,1,151223,0
case_100,2,68855,540608
case_100,3,57307,170504
case_100,4,50721,333636
case_100,5,55228,542764
