case_id,n_cores,makespan,added_copy
case_001,1,233110,0
case_001,2,116868,1152
case_001,3,78545,2304
case_001,4,58984,3456
case_001,5,47502,4608
case_002,1,261945,0
case_002,2,137080,365568
case_002,3,92763,414720
case_002,4,71850,703488
case_002,5,57839,1565184
case_003,1,602212,0
case_003,2,385288,1933066
case_003,3,324351,3240190
case_003,4,343485,3031086
case_003,5,287382,5876674
case_004,1,392357,0
case_004,2,199074,110592
case_004,3,134043,221184
case_004,4,101586,1112064
case_004,5,82245,3179520
case_005,1,95618,0
case_005,2,70607,601638
case_005,3,65735,573322
case_005,4,63163,1617038
case_005,5,61797,935862
case_006,1,82837,16400
case_006,2,39164,3456
case_006,3,30478,93596
case_006,4,23629,364820
case_006,5,21934,184740
case_007,1,1012562,0
case_007,2,508114,41472
case_007,3,338094,55296
case_007,4,256196,82944
case_007,5,203834,110592
case_008,1,487605,0
case_008,2,244266,0
case_008,3,163359,0
case_008,4,100895,3096576
case_008,5,100500,36864
case_009,1,153261,0
case_009,2,92564,0
case_009,3,94134,22016
case_009,4,92573,0
case_009,5,63152,1271818
case_010,1,86969,0
case_010,2,44039,27648
case_010,3,32083,520024
case_010,4,24037,157972
case_010,5,23951,310688
case_011,1,184697,0
case_011,2,92646,180224
case_011,3,65307,1640448
case_011,4,46880,540672
case_011,5,44089,1171456
case_012,1,59088,0
case_012,2,28808,3456
case_012,3,18679,136870
case_012,4,14186,18496
case_012,5,14292,75616
case_013,1,263949,0
case_013,2,132198,8192
case_013,3,88351,16384
case_013,4,66714,40960
case_013,5,54106,311296
case_014,1,17698626,71010720
case_014,2,8857142,60284832
case_014,3,5995132,57561504
case_014,4,4521196,58072080
case_014,5,3712076,58340256
case_015,1,177362,180256
case_015,2,84607,696684
case_015,3,52476,933008
case_015,4,43790,1226136
case_015,5,43418,1409944
case_016,1,7715523,0
case_016,2,7715523,0
case_016,3,7715523,0
case_016,4,7715523,0
case_016,5,7715523,0
case_017,1,162810,22528
case_017,2,68105,250640
case_017,3,48159,167040
case_017,4,38864,235008
case_017,5,33558,228096
case_018,1,1004367,1970176
case_018,2,505515,1691008
case_018,3,339600,7951364
case_018,4,266412,4284704
case_018,5,207716,2768896
case_019,1,81144,0
case_019,2,38537,276524
case_019,3,27888,60484
case_019,4,21478,55304
case_019,5,18048,93488
case_020,1,532746,0
case_020,2,266580,0
case_020,3,177888,16384
