case,problem,cores,baseline,multiseed,vns,improvement_percent,vns_gain_percent,runtime
case_001,1,2,128182,118572,118572,7.497152486308534,0.0,2.1365514999997686
case_001,1,4,71604,69030,65337,8.752304340539629,5.3498478922207715,3.77226200000041
case_005,1,2,100421,95618,95618,4.78286414196234,0.0,12.497021699999095
case_005,1,4,163274,95618,95618,41.43709347477247,0.0,17.89916230000017
case_019,1,2,64234,45290,44825,30.21608493944017,1.0267167145065148,3.04812850000053
case_019,1,4,74218,28710,27204,63.34581907354011,5.245559038662484,3.3301100000007864
case_025,1,2,2440034,2435650,2435650,0.17966962755436855,0.0,123.2507198000003
case_025,1,4,1263362,1233570,1233570,2.358152295224958,0.0,127.72148109999944
case_050,1,2,163349,114638,110633,32.27200656263582,3.493605959629442,26.011643099998764
case_050,1,4,178483,85749,84661,52.56635085694437,1.2688194614514425,35.007379100001344
case_085,1,2,3171548,2887495,2841441,10.408387323792667,1.5949464847558215,121.37114640000073
case_085,1,4,3184106,2585774,2580374,18.9608009281098,0.20883495618719827,120.72559999999976
case_001,2,2,121455,116868,116868,3.776707422502157,0.0,1.7628500999999233
case_001,2,4,61174,58984,58984,3.5799522673030992,0.0,1.9185472999979538
case_005,2,2,75335,75335,70955,5.8140306630384275,5.8140306630384275,22.540370299999267
case_005,2,4,69737,69737,64415,7.631529890875721,7.631529890875721,23.369092900000396
case_019,2,2,49792,39341,38711,22.254579048843194,1.6013827813222803,2.7673972000011418
case_019,2,4,54841,22985,21615,60.58605787640634,5.960408962366759,2.8261821000014606
case_025,2,2,2433638,2433638,2433638,0.0,0.0,121.31571480000093
case_025,2,4,1252074,1230186,1221092,2.474454385283942,0.7392378063154625,123.94050729999981
case_050,2,2,119065,106089,94870,20.320833158358877,10.57508318487308,26.696740699999282
case_050,2,4,106443,62926,62903,40.904521668874416,0.03655086927502049,25.465148899998894
case_085,2,2,2726113,2418657,2406698,11.716865735206138,0.49444795190057844,120.83332940000037
case_085,2,4,2301648,1787208,1780422,22.645773810765156,0.3796983898908257,122.38156979999985
case_001,3,2,121455,116868,116868,3.776707422502157,0.0,1.8372489000012138
case_001,3,4,61174,58984,58984,3.5799522673030992,0.0,1.9999906000011833
case_005,3,2,75277,75277,70926,5.779985918673702,5.779985918673702,22.780270699999164
case_005,3,4,68007,68007,63084,7.238960695222552,7.238960695222552,23.588038699999743
case_019,3,2,49751,39341,38711,22.1905087334928,1.6013827813222803,2.83836760000122
case_019,3,4,54585,22944,21574,60.47632133369974,5.971059972105996,2.9267578999988473
case_025,3,2,2433638,2433638,2433638,0.0,0.0,128.10608630000024
case_025,3,4,1252074,1230186,1221092,2.474454385283942,0.7392378063154625,123.81233269999939
case_050,3,2,119059,105981,94870,20.316817712226708,10.4839546711203,27.092738200000895
case_050,3,4,106117,62835,61815,41.74825899714466,1.6232991167343003,25.81957059999877
case_085,3,2,2726113,2418605,2406646,11.718773212995936,0.49445858253001074,125.12081190000026
case_085,3,4,2301312,1783789,1777418,22.765014044162633,0.3571610767865496,123.81895199999963
