problem,trials,memory_spill_pearson,memory_makespan_pearson,surrogate_makespan_pearson
1,298,0.09933521217716873,0.5342440779377138,0.987929657483862
2,325,0.8540126246056564,0.49018080202512376,0.9855755628093301
3,331,0.8430732329260242,0.5048890214358474,0.9861491704653903
