problem,cores,algorithm,count,mean_normalized_makespan,mean_speedup_vs_baseline,mean_runtime
1,2,baseline,34,1.0,1.0,3.7177638382349603
1,2,multiseed,34,0.7861604537500578,1.3991876962646606,47.64975142353283
1,2,vns,34,0.772328099569896,1.4225514508588903,93.42066226176479
1,3,baseline,34,1.0,1.0,3.2600630000130932
1,3,multiseed,34,0.7602061450194301,1.488590568337489,43.78363847648314
1,3,vns,34,0.7351607518204218,1.557013754040575,94.34104243530686
1,4,baseline,34,1.0,1.0,3.1726868558839403
1,4,multiseed,34,0.6730326273845045,1.82977402906201,42.94248546469915
1,4,vns,34,0.6484084542146544,1.92503880829113,94.43975591176422
1,5,baseline,34,1.0,1.0,3.0415866235236857
1,5,multiseed,34,0.6671046766685272,1.867197250287045,41.795634320570734
1,5,vns,34,0.6502163029756391,1.9375997250502366,95.74866694999818
2,2,baseline,34,1.0,1.0,3.2447065676678903
2,2,multiseed,34,0.8386095106475433,1.261747622220757,30.577042085303486
2,2,vns,34,0.8183284121617445,1.2997932613077612,75.24354114706682
2,3,baseline,34,1.0,1.0,2.728268002937137
2,3,multiseed,34,0.7955240041904968,1.3717229125235284,30.258061329402743
2,3,vns,34,0.7675527457740835,1.4268225378615615,71.38989339409711
2,4,baseline,34,1.0,1.0,2.533238599997918
2,4,multiseed,34,0.7355885577785215,1.613094172228136,30.805228285292877
2,4,vns,34,0.7127323441745833,1.6711590997802894,69.61284772058785
2,5,baseline,34,1.0,1.0,2.3807457911624463
2,5,multiseed,34,0.6943011758922437,1.7202613419615596,31.569810249989935
2,5,vns,34,0.6703046474697943,1.7818519260983074,68.61597527940552
3,2,baseline,34,1.0,1.0,3.2759244117769413
3,2,multiseed,34,0.8378208866050003,1.267179482732231,31.123859338246643
3,2,vns,34,0.8184762956726873,1.30543274763034,75.59643373530537
3,3,baseline,34,1.0,1.0,2.768816308820319
3,3,multiseed,34,0.7976336739081759,1.372444596952325,30.639107638233863
3,3,vns,34,0.7701604676687043,1.4300344030402938,73.12618568529348
3,4,baseline,34,1.0,1.0,2.5632180147222243
3,4,multiseed,34,0.7331443231432291,1.6093030287547754,31.167440529423082
3,4,vns,34,0.7109653548647339,1.675027109822899,71.25410453824203
3,5,baseline,34,1.0,1.0,2.447645117641728
3,5,multiseed,34,0.6959453145167992,1.7257244904931137,32.19024801470668
3,5,vns,34,0.6683596343955415,1.807186343970684,69.90853409998475
